en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
"Deep in a Human server with ties to the governor’s office, hidden in a memo locked behind a bewildering number of passwords, I discovered a communication regarding a summit that had occurred a couple of weeks earlier. Around the time [MASK] hadn’t shown up for laundry night.","""title"": ""Ready Player One"", ""author"": ""Ernest Cline""","ties locked Deep behind office, in hidden to couple server occurred hadn’t the regarding bewildering passwords, a for a a with governor’s Around earlier. time number of had Human in the a night. discovered [MASK] I that laundry of a communication up summit memo weeks shown a","""title"": ""The Brethren"", ""author"": ""John Grisham"""
"“What’s the plan?” [MASK] would ask if she were here, even though the little schemes she hatched never worked out. She liked the vibe of organizing more than the actual job of it, and my usually impervious heart clenches a little at the thought that I cannot call her out on it.","""title"": ""The Fault in Our Stars"", ""author"": ""John Green""","the of clenches she would “What’s the the actual never it. the thought of liked my than even organizing her hatched job she I impervious [MASK] if were and little heart out ask schemes plan?” though it, worked call She more usually a little the vibe here, cannot out. at on that","""title"": ""Eleanor Oliphant is Completely Fine"", ""author"": ""Gail Honeyman"""
"“I didn’t think [MASK] could be beautiful.” There’s nothing complimentary about his words. He’s neither hitting on me, nor attempting to creep me out. Just stating a simple fact, followed by another step toward me, and I’m suddenly very conscious that I’m at the end of a hallway. He stands between me and the exit.","""title"": ""Divergent"", ""author"": ""Veronica Roth""","I’m that Just be very beautiful.” could He’s about neither and the nor stands I’m [MASK] a on by step conscious He the hitting stating me followed complimentary end attempting exit. me, There’s hallway. “I words. creep fact, nothing suddenly simple at think of another toward a me, his me to and between didn’t out.","""title"": ""Twilight"", ""author"": ""Stephenie Meyer"""
"“I doubt it.” I want to put a door between myself and [MASK], but the only one I can reach is Lowe’s office—locked. I glance around for another escape route, but all I find is a giraffe painting of questionable quality.","""title"": ""Verity"", ""author"": ""Colleen Hoover""","“I the doubt only reach I one glance route, can questionable [MASK], I all myself escape Lowe’s around for of it.” put want painting but office—locked. to a door giraffe quality. is is find I another I but between and a","""title"": ""The Sound and the Fury"", ""author"": ""William Faulkner"""
"“Remember what your people have taken from him. It’s almost as much as they’ve taken from me. And yet he’s making alliances with them like a common traitor. He married you, and said that you’re not to be harmed.” [MASK] runs a hand over his dark hair, and then shakes his head in what looks like disbelief. He looks so deeply lost, I forget my unease and ask:","""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas""","said yet [MASK] in so your my be a common and his lost, It’s “Remember alliances ask: almost me. he’s dark looks taken He from what harmed.” that making as I they’ve you’re like and have and over shakes traitor. hand to not deeply He what as looks married taken people much you, his runs head them like hair, And forget unease him. from a disbelief. with then","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling"""
"A pair of hands a million times stronger than [MASK]’s yanks me away. What happens next is too blurry to parse, but a moment later, I’m the one sandwiched against the opposing wall. My back digs into the frame of the giraffe painting, and my front presses against something just as unyielding, but warm.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","me away. next painting, back the frame just the than one a against hands I’m but and parse, later, into something million happens giraffe presses unyielding, warm. stronger but my as What sandwiched blurry [MASK]’s is My front to yanks of opposing digs the the too of wall. against moment times A pair a","""title"": ""The Particular Sadness of Lemon Cake"", ""author"": ""Aimee Bender"""
"“[MASK] came over, saw me, decided to indulge in some light afternoon murder.” I shrug. “That, I’m used to. It’s the subsequent lying that—”","""title"": ""The Dresden Files series, possibly Grave Peril"", ""author"": ""Jim Butcher""","shrug. lying subsequent the over, came used “That, to light I’m to. in I “[MASK] indulge me, afternoon decided saw that—” murder.” some It’s","""title"": ""The Murder on the Orient Express"", ""author"": ""Agatha Christie"""
“Leave us.” Lowe’s sharp voice reminds us that we’re not alone in the room. We turn at once. And we’re equally shocked to see that he’s addressing [MASK].,"""title"": ""Divergent"", ""author"": ""Veronica Roth""",that And in see that turn addressing he’s us once. the we’re not We us.” reminds [MASK]. we’re shocked equally Lowe’s to voice “Leave room. sharp at alone,"""title"": ""The Shining Girls"", ""author"": ""Lauren Beukes"""
"This situation is a problem. The Collateral is supposed to be a nonplayable character in a video game. For the next year, I need to be invisible, unobtrusive as I search for [MASK]. Not the kind of nuisance who gets caught murdering a young Were.","""title"": ""Dresden Files series, possibly 'Changes' or 'Ghost Story' or 'Cold Days'"", ""author"": ""Jim Butcher""","unobtrusive a the of problem. nuisance murdering in Were. The a Not situation supposed to is game. who a be video the be This Collateral to nonplayable kind year, invisible, For character next gets as is I a [MASK]. search for need I young caught","""title"": ""Ready Player One"", ""author"": ""Ernest Cline"""
"His eyebrow lifts. “I’m sure you have some excellent advice on where else I should house the daughter of the most powerful [MASK] in the council, who’s apparently a fearsome fighter in her own right.”","""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas""","council, fearsome most of where in His the house excellent sure the have “I’m powerful a eyebrow her you apparently some own on who’s in advice daughter should lifts. the [MASK] else right.” I fighter","""title"": ""The Mortal Instruments: City of Bones"", ""author"": ""Cassandra Clare"""
"It’s amusing to me, the idea that someone who has skimmed a synopsis of my life would assume I’ve had any sort of romantic entanglement. With whom? A [MASK], when they only see me as a traitor? A Human, who would consider me a monster?","""title"": ""The Lunar Chronicles: Fairest"", ""author"": ""Marissa Meyer""","Human, A would a to who entanglement. monster? me whom? synopsis would a romantic when see as [MASK], has skimmed life me they the idea A that me, consider traitor? of had sort someone amusing With It’s a I’ve of any assume only my who","""title"": ""Frankenstein"", ""author"": ""Mary Shelley"""
"There might be something stunted about me. After the Collateral term was over, [MASK] and I were free to venture into the outside world, to be with people who weren’t our tutors or our caregivers, to fall in love and make friends. [MASK] jumped right into that, but I could never bring myself to. Partly because the closer I’d let someone get to me, the harder it’d be to hide who I was. Or maybe spending the first eighteen years of my life becoming acquainted with the cruelty of all species didn’t quite set me up for a bright future.","""title"": ""The Darkest Minds"", ""author"": ""Alexandra Bracken""","After first for closer the to Collateral bright maybe to. be love cruelty who [MASK] be the because someone years didn’t I our the let quite into make weren’t could to get venture to to never up with acquainted hide myself [MASK] was. who term tutors harder I’d species There was people Partly life Or stunted and outside it’d were the jumped or right of in I the our free might that, be bring of spending a friends. and I world, me. into me over, about to set fall becoming eighteen the my all with but future. something caregivers, me,","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“But then you’d get mad because Father and I weren’t paying attention to you, and wander off on your own, grumbling about the oddest things. Let me know if that changes. Have you been talking with the Were Collateral? Has she mentioned anything about [MASK]?”","""title"": ""The Dresden Files series, possibly 'Changes' or 'Ghost Story' or 'Cold Days'"", ""author"": ""Jim Butcher""","oddest on been know Were if you, because she with mentioned attention and about weren’t and “But own, me your paying anything that off wander grumbling Let things. you changes. to then [MASK]?” Has the get you’d talking Have about mad Collateral? Father the I","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“That’s a bad word,” [MASK] says, giggling in a delighted, tickled way that has me feeling like an improv genius. She’s flattering company. “What’s your name?”","""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney""","me giggling “What’s tickled improv name?” delighted, your like a bad [MASK] company. that feeling She’s a word,” way genius. says, in has flattering an “That’s","""title"": ""Eleanor Oliphant is Completely Fine"", ""author"": ""Gail Honeyman"""
"It feels like the middle of the night when [MASK] yawns and decides it’s time to go back to her room. “My cat is waiting for me, anyway.”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""","cat is the anyway.” feels night it’s to back the like middle for her “My to when decides [MASK] time go of me, waiting It yawns and room.","""title"": ""The Cat in the Hat"", ""author"": ""Dr. Seuss"""
"I follow her progress, terrified, wondering if this is motherhood: anxiously picturing your child with her skull cracked open. But [MASK] knows exactly what she’s doing, and when she has hoisted herself on top of the roof and disappeared from my view, I’m left alone with two separate pieces of knowledge:","""title"": ""The Female Persuasion"", ""author"": ""Meg Wolitzer""","my herself with this of the cracked hoisted roof exactly view, two knowledge: is knows doing, her pieces what she left picturing motherhood: disappeared But and alone has of your separate wondering terrified, and [MASK] top from her if follow with when progress, I on child open. skull anxiously I’m she’s","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
"It’s a barbecue, or a potluck, or a cookout—I never quite got the difference, despite Serena’s explanations on the nuances of Human social get-togethers. [MASK] don’t really build community this way, by assembling without an agenda. Our friendships are alliances. I didn’t encounter the concept of hanging out, of spending time with someone for the sake of it, until my Collateral years.","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""","barbecue, really concept I difference, spending encounter out, sake alliances. a years. or agenda. [MASK] quite community with of of despite someone never Our of until the by don’t the this Serena’s social didn’t time explanations friendships are an without hanging way, build It’s it, Collateral a of or get-togethers. potluck, my a assembling Human got nuances for the cookout—I the on","""title"": ""Is Everyone Hanging Out Without Me? (And Other Concerns)"", ""author"": ""Mindy Kaling"""
"He’s separate from the rest of the crowd, on the outskirts of the beach, where the sand first turns into shrubs, then thickens with forest trees. At first glance, I don’t think much of it: unlike most of the partygoers, he’s wearing a long-sleeved shirt and jeans, but hey. I’ve been a self-conscious teen before, trying to hide with clothes the way I’d shot up about six inches in three months. And melanoma is evil, according to [MASK].","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""","the up in first on evil, turns the then thickens wearing according hide inches months. clothes been about the At and rest I’ve a shirt six don’t with And crowd, partygoers, into He’s shrubs, trees. [MASK]. of he’s to a separate way jeans, trying I’d before, the long-sleeved first it: from think unlike the the I glance, much to teen shot forest where beach, of melanoma hey. outskirts with but of self-conscious of sand three the most is","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"Except. Something pulls me back to the window. I don’t like it. The way he’s talking to [MASK], pointing at someplace I cannot see, someplace between the trees. [MASK] shakes her head—no. But he seems to insist, and . . .","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","someplace it. I he . shakes trees. to I seems [MASK] back . insist, The cannot pulls he’s her [MASK], at to don’t But someplace window. to head—no. the talking the me Something see, pointing Except. between and way like .","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"He’s probably in the restroom, and I consider looking for him there. Then decide there’s no time. A couple of stray neural cells lurch awake to point out that this is the perfect time for me to break into Lowe’s office and search for intel on Serena. The remaining 99 percent of my brain, sadly, is focused on [MASK].","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood""","focused for looking Lowe’s in perfect He’s I decide my and him couple restroom, on on The Then the remaining to probably is there. Serena. for the search stray and there’s brain, neural awake consider point into cells time. office for to time no is percent of lurch this out [MASK]. break that intel of sadly, A 99 me","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
"“Let me go,” [MASK] whines. Like me, he’s sitting on a couch. Unlike me, his hands are tied behind his back, and he’s being watched by several guards with the kind of icy treatment one would reserve for someone who tried to kidnap a child.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","Unlike his are who for and the [MASK] me back, he’s reserve by kidnap me, behind he’s one tried kind would being me, tied treatment on “Let watched go,” a with Like guards someone his a child. whines. to of hands couch. icy sitting several","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
"I’m not quite sure what he wants to know, so I go for what feels right. “[MASK] has been visiting,” I say, matching his tone. “She keeps me company, and even though she’s terrible at pronouncing my name and clearly doesn’t know whether she’s six or seven . . .” I swallow. “I’d rather she doesn’t get, you know. Kidnapped and trafficked.”","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""","sure at tone. Kidnapped even she feels “[MASK] keeps and go she’s doesn’t or me . his say, what know has pronouncing been to you what she’s not my and he clearly name get, though for know, .” so I’m quite matching right. rather I trafficked.” I . terrible doesn’t six visiting,” whether know. and I swallow. “She “I’d seven wants company,","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
"I let his words churn around me for several minutes after he leaves, wondering whether he’s right. When they grind to a stop, I know he isn’t: I did have a home, and her name was [MASK].","""title"": ""The Fault in Our Stars"", ""author"": ""John Green""","after churn I have around he know they isn’t: I he to When leaves, grind a for name minutes her stop, and his words whether let right. was he’s a several I me wondering home, did [MASK].","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
"The sun is setting, but I don’t turn on the lights. Lowe’s desk is given away by [MASK]’s grinning picture. I tiptoe there, kneel in front of the keyboard, and start messing around.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""","given there, picture. by setting, don’t is [MASK]’s on is messing I tiptoe I desk turn the in around. keyboard, front and of kneel but sun Lowe’s grinning away The the lights. start","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"And this wolf’s . . . This wolf’s fangs could win contests. Rule civilizations. Get their owner engaged, married, and very much laid at any [MASK] party. And they could shred me into M&M’s.","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""","civilizations. very could . me this any This wolf’s they much And could into . win Rule married, Get wolf’s engaged, their And and shred laid owner at M&M’s. . fangs [MASK] contests. party.","""title"": ""The Wolf of Wall Street"", ""author"": ""Jordan Belfort"""
"“Come in,” he orders, and I cannot comprehend how I didn’t notice [MASK] idling by the door. Too busy contemplating my imminent demise, probably. “Can you figure out what she was doing?”","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","imminent was door. in,” how demise, out I Too notice orders, she the contemplating I doing?” you he busy idling figure “Come didn’t what and [MASK] “Can probably. my comprehend by cannot","""title"": ""Pride and Prejudice"", ""author"": ""Jane Austen"""
"“She—very astutely, I must say, and with only very primitive tools at her disposal—hacked into our servers,” [MASK] announces. A little admiringly, which is flattering.","""title"": ""The Circle"", ""author"": ""Dave Eggers""","A is announces. servers,” astutely, must [MASK] only tools disposal—hacked at flattering. into with little “She—very I which and our say, primitive her admiringly, very","""title"": ""The Diamond Age"", ""author"": ""Neal Stephenson"""
“Yup. I’m the leader of our security team.” He sounds distracted as he combs through my code. Whatever fear he had when we were alone doesn’t hold if his [MASK]’s present.,"""title"": ""Ready Player One"", ""author"": ""Ernest Cline""",team.” we fear if present. combs his the my code. when Whatever He as security alone he [MASK]’s through had “Yup. distracted doesn’t leader were of hold he I’m sounds our,"""title"": ""Ready Player One"", ""author"": ""Ernest Cline"""
"“Nice job.” Weird, how I’m having a conversation with [MASK] but staring up into Lowe’s eyes. About an inch from mine. “It’s pretty impenetrable.”","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""","how “Nice impenetrable.” Lowe’s having job.” a with pretty mine. staring from [MASK] I’m up an inch but Weird, eyes. into About “It’s conversation","""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney"""
"“I have to consider this as an act of aggression on behalf of your father and the rest of the [MASK] council. They sent a plant into Were territory under the guise of Collateral.” His jaw hardens. “And your scent—they tampered with it, didn’t they? They knew it would distract me—”","""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas""","aggression father territory a [MASK] jaw “And into of Collateral.” behalf distract to plant me—” hardens. act guise would on tampered and your an His have they? the with knew Were sent didn’t of the scent—they of rest They this of council. “I under They as your it the it, consider","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins"""
"[MASK] stamps a kiss on Lowe’s cheek, mutters something delighted about how prickly it is, and then slips out in a flurry of blue and pink fabric. My eyes stay with her, and then on the ajar door, long after she disappears.","""title"": ""Eleanor Oliphant is Completely Fine"", ""author"": ""Gail Honeyman""","disappears. and slips after flurry My it long her, [MASK] stay is, Lowe’s stamps on a she cheek, then in and kiss something a door, pink out on mutters how of then about fabric. the delighted eyes and ajar blue prickly with","""title"": ""The Sound and the Fury"", ""author"": ""William Faulkner"""
"“You thought I had a martyrdom complex?” I hug my legs to my chest, watching his lips as they close around the rim of his mug. “I have no allegiance to the [MASK]. Or the Humans, with a single exception. And I’m going to find her.”","""title"": ""The Host"", ""author"": ""Stephenie Meyer""","close thought I complex?” Or “I his have to [MASK]. to the to no Humans, mug. single I’m of legs his as her.” lips martyrdom And with they my had find the chest, hug exception. rim allegiance the going a around my a “You watching I","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams"""
"[MASK] loved berries, and I tried memorizing their names, but they’re so counterintuitive. Blueberries? Not blue. Blackberries? Not black. Strawberries? Straw free. Raspberries? Do not rasp, or make any noise at all. I could go on.","""title"": ""Is Everyone Hanging Out Without Me? (And Other Concerns)"", ""author"": ""Mindy Kaling""","black. tried memorizing at Blueberries? and they’re Straw Do all. [MASK] not make their on. any Not Raspberries? rasp, blue. I Blackberries? could free. but names, loved go I so Not berries, Strawberries? counterintuitive. or noise","""title"": ""The Areas of My Expertise"", ""author"": ""John Hodgman"""
"He takes out two slices of bread. His forearms are strong, large muscles interrupted by the occasional white scar. “If Were business is involved, you might not know what you’re looking for. I’ll have you talk with [MASK] and hand them over to—”","""title"": ""The Dresden Files series, possibly Grave Peril"", ""author"": ""Jim Butcher""","large by over strong, not interrupted you’re business He looking muscles involved, out the is slices Were occasional forearms takes have might [MASK] you I’ll them are two talk for. His to—” with scar. what know white hand “If bread. of you and","""title"": ""The Picture of Dorian Gray"", ""author"": ""Oscar Wilde"""
"“I can only protect [MASK] if I know where the threats against her are coming from.” He leans forward across the table. The scent of his blood is like a wave lapping at my skin. “I’m not like your father, Misery.”","""title"": ""Misery"", ""author"": ""Stephen King""","coming the lapping blood is know forward leans protect like are threats skin. I against table. “I father, at if his [MASK] Misery.” The scent “I’m not of like wave from.” her the He where across a my can your only","""title"": ""It"", ""author"": ""Stephen King"""
"I know what Vampyres smell like, what their needs and limitations are. And [MASK] is not one of us. Which leaves one single other possibility.","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""","[MASK] like, are. one their smell not Which single Vampyres limitations one what needs of what know leaves possibility. is other And I and us.","""title"": ""Dracula"", ""author"": ""Bram Stoker"""
"“I was living in Europe when my mother was injured, but immediately flew back. When it became obvious that she might not make a recovery, she told me about [MASK]’s biological father.”","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins""","[MASK]’s injured, father.” “I flew immediately a When might it back. was mother that make my living she me but recovery, Europe obvious was not told biological became in when about she","""title"": ""The Liars' Club"", ""author"": ""Mary Karr"""
"His mouth curves infinitesimally, like he’s tempted to do just that, and I smile, too. Our eyes hold for a beat before he continues: “[MASK] doesn’t know who her real father is.”","""title"": ""Twisted Love"", ""author"": ""A.M. Winters""","before and smile, “[MASK] her beat mouth that, infinitesimally, real hold do know is.” who too. continues: tempted eyes I a just like His he’s father Our doesn’t to he for curves","""title"": ""The Sound and the Fury"", ""author"": ""William Faulkner"""
"“Or of a chicken coop, if you ask me.” I bite my lower lip, mulling it over. “Who is [MASK]’s father?”","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee""","a mulling if it is [MASK]’s chicken I ask coop, me.” lower “Who you over. father?” bite of lip, “Or my","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
"“My mother never told me. My impression is that he already had a family, and that when she attempted to mention [MASK] to him, he . . .”","""title"": ""Harry Potter and the Half-Blood Prince"", ""author"": ""J.K. Rowling""",". attempted family, he mention him, is to had a she and “My told that me. mother [MASK] already when My . to that never .” impression he","""title"": ""Great Expectations"", ""author"": ""Charles Dickens"""
"“And here I was, thinking we were firmly in the reluctant alliance stage of our marriage.” I don’t mind the supervision. It’s more that [MASK] appears to be as good a hacker as I am—the one area in which I allow myself to be competitive. “Okay. Thanks,” I add, a bit sullen.","""title"": ""Ready Player One"", ""author"": ""Ernest Cline""","the firmly supervision. mind be I hacker “Okay. in am—the stage competitive. marriage.” of thinking myself don’t [MASK] I sullen. alliance add, were allow “And a Thanks,” here that was, we It’s area to one in bit as the good I be which as to appears a more our I reluctant I","""title"": ""The Circle"", ""author"": ""Dave Eggers"""
"I’m at the bottom of the stairs when [MASK] comes racing down the steps, almost crashing into me. Her eyes are full of tears, and my heart clenches. “Are you okay?” I ask, but she runs past me, straight toward her brother. She’s babbling something about bad dreams and waking up scared.","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","okay?” you of and straight into her tears, the and “Are clenches. scared. but babbling past when I’m Her I the of brother. heart my at comes stairs down me. dreams crashing are steps, almost racing full me, up [MASK] about the something ask, bad toward runs She’s eyes waking she bottom","""title"": ""Divergent"", ""author"": ""Veronica Roth"""
"And yet, I carry on. Even after overhearing [MASK] say, “Please, please, don’t let me die until I turn twenty-five or I get to visit the the Spy Museum, whatever comes first.” Yeah. He prays a lot.","""title"": ""The Fault in Our Stars"", ""author"": ""John Green""","yet, to whatever I on. “Please, say, Even or please, let die turn prays comes after lot. Yeah. overhearing I I first.” don’t the until Museum, Spy get And me visit [MASK] the carry He twenty-five a","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“I cannot begin to imagine how traumatizing it must have been for [MASK], seeing her only parent be hurt by the single Were whose authority she’d been raised to never question.”","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","her it “I to been authority been must begin the she’d have traumatizing cannot imagine be parent to hurt whose never Were raised [MASK], question.” only how seeing single by for","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins"""
"“ ’Cause I’m a Vampyre.” She accepts the explanation. Probably because she accepts me. Like [MASK] used to, and no one else ever. I turn the page, and we’re silent for three more minutes, her breath hot and humid against my cheek.","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""","hot ’Cause one and for explanation. accepts no humid she [MASK] Vampyre.” accepts against my turn the breath to, the a we’re else because me. more minutes, three page, I and used She Like cheek. I’m “ and her Probably silent ever.","""title"": ""Dracula"", ""author"": ""Bram Stoker"""
"“As it’s not hemoglobin or peanut based, nothing. So.” I clap my hands. The cicadas quiet, then resume their singing after a disoriented pause. “Tell me if I got it right: You’ll use your meeting with [MASK] as an excuse to plant some spyware or interceptor that will allow you to monitor her communications and gain proof that she’s leading the Loyals. But you are going into enemy territory alone, and have the computer skills of an octogenarian Luddite, which puts you at great risk. Actually, no need to tell me if I’m right, I already know. When are you plunging to your imminent death? Tomorrow or Friday?”","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""","will as the that if clap or into it’s nothing. peanut and some after if and to gain which use risk. great enemy you an got based, with at leading plunging me “As Tomorrow not octogenarian “Tell interceptor alone, or death? [MASK] I no communications right: your you she’s I’m quiet, hemoglobin right, puts I need Luddite, of are already You’ll Friday?” cicadas it plant skills allow then spyware pause. tell you So.” my you But a an that resume to are excuse going When to I computer have your me Loyals. singing or hands. the Actually, imminent know. proof to her monitor The disoriented their meeting territory","""title"": ""The Circle"", ""author"": ""Dave Eggers"""
"I can’t imagine. Or can I? Those first few days after [MASK] was gone, and I was so frantically preoccupied with looking for her that it didn’t occur to me to bathe or feed until my head pounded and my body was feverish.","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn""","for feverish. Those was bathe Or my pounded didn’t days to it frantically preoccupied imagine. that feed looking her and or head me occur was was so can’t first [MASK] I my I body with and can gone, to I? after few until","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
"“It’s just . . .” I’m not sure what’s so concerning about the idea of him seeing them. Maybe I’m just remembering being nine, and the way my Human caregivers always stopped smiling the second I began. A driver, making the sign of the cross. A million other incidents through the years. Only [MASK] never minded. “Is this a trap? Are you looking for an excuse to watch my entrails fertilize the plumbago?”","""title"": ""The Power"", ""author"": ""Naomi Alderman""","to cross. the caregivers an the Only seeing stopped . Human never looking sure A driver, Are the began. incidents not minded. through way just what’s trap? of A “Is this Maybe second I’m the million fertilize the you .” “It’s the and I’m about of my concerning smiling excuse so making other remembering a him just years. being idea plumbago?” watch always the for [MASK] sign I nine, . them. my entrails","""title"": ""The Metamorphosis"", ""author"": ""Franz Kafka"""
"The sharks gnaw at the inner walls of my skull, and I won’t be able to make them stop until I find [MASK], but in the meantime, I can distract them. “Anyway.” I sit up with a smile. “Since I so selflessly opened my heart to you, will you tell me something?”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","my sharks I gnaw [MASK], me find something?” in make at tell skull, selflessly them. sit you won’t “Since them stop of “Anyway.” can with until the I able my I heart inner meantime, will walls a so up to you, and to but smile. the The opened I I be distract","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“No.” He stares at the moonlit water. “When we were young, I was there when [MASK]’s sister met her mate. We were on a run. She smelled her, suddenly went real still in the middle of the field. I thought she was having a stroke.” He smiles. “She said that it felt like discovering new colors. Like the rainbow had gained a few stripes.”","""title"": ""Shiver"", ""author"": ""Maggie Stiefvater""","the met was in the on her, I “No.” “She she middle run. moonlit we smiles. was thought a a gained went smelled discovering stares new mate. She sister He said still of Like He her like were stroke.” “When having the We it that were felt young, [MASK]’s the when real suddenly a colors. had there rainbow I stripes.” few water. at field.","""title"": ""Looking for Alaska"", ""author"": ""John Green"""
He nods. “I need to send [MASK] and her people the message that you’re part of my pack and no violence against you will be tolerated. Not just the verbal message.”,"""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas""",message send the “I nods. violence just of you need against that people will to part my tolerated. pack her be no Not and the verbal and message.” He you’re [MASK],"""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
"[MASK] is an asshole, in the most delicious and entertaining of ways. He seems to have distinct preferences, strong opinions, and little interest in keeping either to himself.","""title"": ""A Dirty Job"", ""author"": ""Christopher Moore""","ways. himself. delicious opinions, to little and in He either the an and [MASK] keeping seems interest preferences, to is have most of strong entertaining in asshole, distinct","""title"": ""On the Social Contract"", ""author"": ""Jean-Jacques Rousseau"""
