Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['alex'],"“It’s unlikely,” I say, and every head turns my way. “Everyone needs seven to nine hours of sleep a night. You can try to convince yourself you don’t need more, but over time you’ll build up a sleep debt. It probably affects your mental and physical health more than you realize, [MASK].”",John,"every try mental build yourself can to your health head say, need physical more to seven nine debt. It over more, hours convince unlikely,” time you but you up sleep don’t you’ll a and of needs night. turns a “It’s sleep “Everyone I than [MASK].” probably way. and realize, affects my You",John
['alex'],"“And what’s the deal with [MASK]? Based on the way you talked about him on the plane, I expected you two to jovially poke at each other, but that was like dragging a proverbial sword through each other with your eyeballs.”",Logan,"a you with but the on “And sword each jovially expected about that what’s dragging other other, the proverbial was through like two [MASK]? on talked eyeballs.” the him poke with way Based to you plane, at I deal your each",Zorro
['alex'],"“Well, mostly because he’s an asshole. But also, kids growing up in a normal family get to be themselves, whoever that may be. But in families like ours, one where everything basically revolves around keeping a single person happy—my dad—everybody has a role. My therapist used to refer to [MASK] as a flying monkey.”",Mom,"be. revolves But also, person mostly family But a themselves, be up growing to monkey.” around normal everything [MASK] as get in has dad—everybody asshole. used in one happy—my refer to flying a single a therapist that basically like kids a to he’s where families My role. may whoever ours, an “Well, keeping because",Dad
['alex'],"“Like in The Wizard of Oz? [MASK] was my dad’s willing henchman, doing everything he said, kissing his ass, stirring up shit just to turn us all in, then sit back and look like the good guy. He’s never grown out of it.”",Scarecrow,"never it.” everything shit like He’s good turn in my [MASK] just guy. of in, back then us dad’s he said, kissing willing Oz? all out stirring The and was grown the look up sit “Like his doing of Wizard to ass, henchman,",Oz
['alex'],"“What does that mean?” I ask. If [MASK] knew enough, he wouldn’t try to take West down? Is this about the mysterious loophole in the trust?",West,"does mysterious in If the this mean?” I Is trust? loophole the try West ask. knew he that take about to down? wouldn’t [MASK] “What enough,",Gatsby
['alex'],"West sits on the bench and pulls a shoe off. I set my clutch down on a shelf in the open closet. “I’m thinking [MASK] will take a keen interest in exactly how happy we seem.” I narrow my eyes, staring into the distance. “West… this assignment is no longer just ‘show up and wear a wedding ring.’ ”",Jillian,"closet. I bench this keen happy into ” a eyes, shelf on sits the exactly on off. pulls staring the a my just wear distance. the narrow I open ‘show longer seem.” no wedding ring.’ interest will a clutch and how down West is thinking up in “I’m take a we shoe [MASK] in and assignment my “West… set",Eggers
['anna'],"I woke up around two this morning to find [MASK] wrapped around me. Despite what she’d told me about sleeping in one place all night, at some point she’d migrated across the massive bed to throw a leg over my hip, send an arm over my torso, and press her face to my neck. It took monumental focus to not go hard against her inner thigh, and because of it, I’d slept like absolute shit.",Ella,"in send monumental face leg [MASK] It she’d go around morning and of I absolute her shit. migrated arm find night, over to slept I’d took not to across what point at an two this Despite one around because throw she’d against sleeping torso, thigh, up some the over bed wrapped told press focus hip, massive my woke to inner hard about her my all and place like neck. me. me a my it, to",Monica
['anna'],"My father’s question penetrates my fog, finally, and I straighten, pushing my salt-water-and-sweat damp hair off my forehead. The sun has only just come up and it’s already sweltering. I bet [MASK] has already kicked off the blankets, letting the air cool her overheated skin.",Mom,"off hair just finally, damp already come question already air sweltering. The overheated forehead. my [MASK] my has has I father’s cool bet fog, only pushing letting sun and up my My it’s off the straighten, I her blankets, skin. penetrates salt-water-and-sweat the and kicked",father
['anna'],"“JESUS CHRIST,” I BLURT, the second I turn at the corner of our bridge and step onto the deck of our bungalow. [MASK] is curled up in a papasan, with a sketch pad in her seemingly bare lap. Honestly, from the first glimpse I get, I think she might be naked. “What are you doing?”",Skylar,"CHRIST,” I you Honestly, papasan, bungalow. a naked. “What a at think our are onto bridge second of might first pad in and is her she the up be deck “JESUS the step I corner from the the BLURT, [MASK] in with seemingly bare lap. I our doing?” of glimpse I get, sketch turn curled",Christina
['anna'],"[MASK] follows me. She’s loosely made the bed, but it still looks rumpled. Slept in. By both of us. I squeeze my eyes shut against the reminder.",She,"but it squeeze us. loosely reminder. of By in. both the [MASK] made eyes against shut I still looks follows me. Slept rumpled. She’s my the bed,",Moon
['anna'],I sigh. I know she’s right but I’m already sleep-deprived and functioning on less than full brain power today. I’m not sure I’m capable of dealing with both my family and [MASK] in this suit after last night. “Fine.”,Work,but and know in this last already power I functioning brain full night. of not today. dealing capable sigh. suit and than both I’m my [MASK] I’m on I’m right I with “Fine.” sure family sleep-deprived less after she’s,family
['anna'],“Oh!” [MASK] jerks a hand over her eyes. “Your Goddamn! Right there!” She turns away. “Sorry! I just—spaced out—on your—God. And you’re not even harrrrrrr—Fuck me.” She coughs. “Okay. I’ll just meet you down at the restaurant.”,Hazel,restaurant.” jerks at meet a She your—God. down me.” over Right eyes. And away. there!” “Your just—spaced “Sorry! hand turns [MASK] the out—on you’re coughs. She “Oh!” even I’ll not her harrrrrrr—Fuck you “Okay. Goddamn! just I,Godot
['alex'],"I can feel Anna’s eyes on the side of my face. This is how it always starts with [MASK], and whatever suspicion he has about my marriage will only make it worse. I know it’s irrational and a remnant of how we used to one-up each other for our dad’s approval when we were kids, but I want to beat him. At everything.",Mark,"of other marriage I At suspicion whatever irrational feel kids, our dad’s the I has everything. we know a make beat I to but for how side worse. eyes about one-up and and my him. it were face. each we used approval want of [MASK], when to he starts remnant always how it can is will with This only on it’s my Anna’s",Anna
['anna'],"[MASK] slams the brakes on this line of thinking by putting an arm around my back, resting the other hand on my stomach and gently scratching, just like she unconsciously did last night. I work to suppress a shiver. Turning, she looks at him over her shoulder.",Anna,"thinking by she suppress her the arm resting this putting Turning, looks brakes my on last back, unconsciously over scratching, on she slams him night. gently and [MASK] an at just around work did of line the other a my like stomach hand I shoulder. to shiver.",John
['eko'],"[MASK] goes through the basics of paddling, giving us tips about what areas of the reef to avoid as we approach. “Is everyone comfortable with the basics of kayaking?” she asks.",Sarah,"tips basics us “Is avoid reef as we [MASK] the asks. approach. kayaking?” everyone of paddling, about areas what the with the basics she of of comfortable to giving goes through",Kayla
['alex'],"I reach back, pulling my T-shirt up and off, tossing it to the side. [MASK] hesitates and then does the same, his expression turning homicidal when I smirk down at his soft little paunch.",Jace,"T-shirt then reach pulling the up same, soft side. little tossing to I off, [MASK] turning when and his the does homicidal I expression and it his paunch. back, at down my smirk hesitates",Tyler
['alex'],"[MASK] snorts, looking at her derisively, like she’s an idiot. In a hot flush, my hackles are up, and every rational thought goes out the window.",Heath,"thought she’s my derisively, goes snorts, up, In hot are looking [MASK] rational every at like out the an a window. her and flush, idiot. hackles",Rational
['anna'],"“Course you are, sweetheart,” I say, steadying my voice and looking down at [MASK]. “I went running without you this morning and you really let me have it.”",Rover,"running “I went morning really steadying you say, looking sweetheart,” and at let this are, and down it.” you “Course you my voice me I [MASK]. have without",Johnny
['alex'],"“We work out together every morning.” I’m speaking to [MASK] but holding Anna’s gaze. Maybe it’s the pent-up frustration from last night, or maybe my brother just brings out the worst in me and the best way to drag him is through his wife’s dissatisfaction, but I keep going. “Gets the blood flowing, doesn’t it?”",Mark,"blood his I “Gets brings but frustration doesn’t it?” gaze. the together him or holding morning.” [MASK] speaking out work through best going. from flowing, Anna’s dissatisfaction, night, the me to to “We it’s worst the just my Maybe maybe keep wife’s last every but way in is and the out pent-up brother drag I’m",Anna
['alex'],"And that much is immediately apparent. She trips as she tries to climb in. I hold the boat steady for her, but she still ends up getting in backward and then having to awkwardly turn around in the tiny space. I pretend to scratch my shoulder with my chin, glancing behind us. Fuck. [MASK] noticed.",Someone,"in much immediately us. behind Fuck. space. ends my trips my I in. awkwardly to She steady [MASK] noticed. shoulder up for that tiny still but climb And as the pretend having boat chin, around she her, scratch glancing turn then in to and I apparent. she backward with to tries hold getting the is",Emily
['anna'],"Just then, [MASK] looks over and lets out a high-pitched shriek. “West! A sea turtle!” She leans to the side, and her oar slides off her lap and into the clear water.",Emma,"then, over shriek. her and leans her high-pitched “West! She off Just clear A a and out slides [MASK] oar side, and the sea to lets looks lap into water. turtle!” the",West
['anna'],"“He and I have never been close,” I say quickly, suddenly and deeply uninterested in spending the morning anywhere but right here with [MASK]. “I think from the moment he was born, the only thing he cared about was impressing our father.”",you,"have moment thing father.” the [MASK]. close,” was the only from was about in “He suddenly I “I quickly, right but he spending uninterested the he deeply think never I and say and cared born, been anywhere morning impressing our here with",Father
['alex'],“You drive [MASK] crazy because he can’t ever beat you even though he’s the older brother. He’s probably jealous because you’re tall and hot and smart and he’s short and—”,Peter,he’s brother. the though smart older he’s “You and—” short jealous and even tall probably hot crazy can’t [MASK] you’re you He’s ever beat he and because drive because and,Darry
['anna'],"[MASK] pulls her hand from the water and sends it absently down her stomach, leaving a trail of water that quickly pulls into droplets and evaporates in the heat. “Is it weird that we lived together for two years and you don’t remember this?”",Sheila,"into water that stomach, water weird from it her remember you down of and hand pulls it trail droplets [MASK] a together “Is don’t lived that we sends and two heat. years evaporates pulls and her leaving the quickly in the absently for this?”",Alice
['golden boy'],"She grins. “Yes, but no one’s money is ever on me to be the keeper of details, [MASK].” She reaches up, throwing her arm over her eyes, and I look at the long line of her body soaking up the sun. “I grew up in Fontana. I can hear that face you’re making, you coastal snob.”",Alex,"me Fontana. to her of details, I you’re soaking eyes, on one’s coastal body her reaches [MASK].” up her no is snob.” She grew you “Yes, the the ever and at up, “I grins. in long of line up keeper look but be She over the money hear arm face sun. throwing that can I making,",Fontana
['jake'],"The second the kayak pushes up on the beach, I’m out and jogging over to where [MASK] is sitting on the sand, his leg covered in ice. “What the hell happened?”",Jason,"on leg jogging where hell The the second sand, is I’m up to the happened?” out sitting his the [MASK] pushes kayak and beach, over in the ice. covered on “What",kayak
['anna'],"Gingerly, [MASK] lifts the ice, gasping at the small wound there. She sets the ice back down, flushed, and nods decisively. “You’ll live.”",Sheila,"decisively. the nods the ice, at and Gingerly, ice [MASK] “You’ll down, gasping the back live.” flushed, She lifts small sets there. wound",Jack
['anna'],"[MASK] scowls at him, and with the circle of people watching, crouches down, setting two fingers on his leg. She immediately jerks her arm back. “Wow, it’s hot.”",Katniss,"[MASK] immediately and of back. at people watching, on two down, circle setting it’s his fingers hot.” the scowls him, with crouches arm “Wow, jerks leg. her She",He
['jake'],"“Is that normal?” [MASK] asks, feigning worry. “Are you sure I’m not going to lose it? It’s my favorite leg.”",Charlie,"going normal?” my asks, not worry. “Are it? sure I’m lose It’s you “Is feigning favorite that to [MASK] leg.”",Dad
['anna'],"[MASK] laughs. “Well, technically the twelfth, but the fifth was when he wrote me a song and got on his knees to sing it to me, so that’s the night I see as our actual marriage.” She looks up at me, eyes soft. “He cried.”",Sheila,"me, [MASK] twelfth, looks marriage.” up the to but as “Well, me a his at She so wrote knees technically night it eyes was me, the the fifth when song cried.” sing to I that’s and soft. on he got actual laughs. see our “He",December
['godda'],"I look down at my paper and begin sketching, not thinking, just drawing whatever runs through my mind. I’m not particularly good at figure drawing, but as the minutes pass, my hands move on instinct. A rough sketch of a chest, the geometric slash of collarbones. My pencil scratches across the page as I shape out bulky shoulders, long, defined arms. A torso narrowing at the muscular hips, with a dark line of hair leading beneath a waistband. I definitely do not think about running my fingertips there, biting his thighs, or wrapping my hand around his long, thick [MASK]—",John,"my muscular biting slash but sketching, drawing the around the as hair down beneath thighs, line across not look wrapping hips, page just defined my [MASK]— or chest, as definitely running fingertips A at with paper his not not hands his pass, out my and My the of figure thinking, hand minutes the torso dark geometric runs bulky of on long, particularly mind. leading a a thick I long, my pencil at I’m shoulders, sketch think move about A my arms. begin I shape rough I narrowing drawing, a do there, waistband. instinct. collarbones. at scratches of good through whatever",David
['anna'],"Where is West? Did he go and sacrifice a virgin on my behalf? If so, it was not necessary but so appreciated. This is not the kind of email one wants to receive alone! This requires celebration, shouting, maybe some hot making out—no, [MASK], stop that. At the very least, I need a high five.",West,"so go least, the At high he and five. of one stop on a maybe not alone! my not If it Where celebration, West? making kind out—no, need to wants but I is very necessary virgin behalf? This so, sacrifice shouting, [MASK], was some receive hot email is a appreciated. Did This that. the requires",West
['mel'],"I’m out of town but will make sure my roommate is there to meet the courier. This is so exciting! The price sounds perfect. Thank you, [MASK]!",Emily,"will sure there out to you, town so perfect. courier. Thank is exciting! is but The roommate I’m price my This of the [MASK]! make sounds meet",Roommate
['janet'],"But because this is a Weston Party™, it doesn’t end there. Clustered down the center of each table are vases bursting with white orchids and sprays of spiky green palms. The plates are bone china, and they look old, rich old, vintage, with about seventeen matching smaller plates and crystal champagne flutes at each place setting. I wonder idly if [MASK] had these brought over from her own collection, and then I realize she’d be more likely to just buy an entirely new set of priceless china.",Weston,"champagne Weston Clustered realize rich there. entirely center each her they flutes had at new and look bone seventeen because and to about are collection, this be it vases and setting. plates white idly wonder priceless But down set then likely The vintage, are green plates own table I a sprays brought is Party™, she’d over of I if china. end just each of smaller palms. [MASK] bursting and these place from spiky with china, buy the with an more matching old, orchids doesn’t crystal old, of",Weston
['jake'],"I look around, hoping to find [MASK], but he doesn’t seem to have arrived yet. Nearby is a banquet table heavy with desserts, each accompanied by a tiny silver label. Saffron poached pears with gold leaf and spun sugar cages. Sheep’s milk mousse, pandan curd, and caramelized puff rice. White chocolate mousse with cardamom espuma and clementine sorbet. Papaya curd with black currant jelly, oatmeal, and mint glass.",Gatsby,"is Papaya caramelized milk sorbet. with but look curd, and cardamom with with label. yet. glass. leaf hoping each pears pandan a mint mousse black spun have accompanied doesn’t he tiny arrived desserts, I a and cages. jelly, by with table Saffron around, to and to heavy Sheep’s gold espuma curd seem poached White rice. currant and mousse, chocolate find Nearby [MASK], sugar puff silver clementine oatmeal, banquet",Nearby
['lemon'],"West looks like I’ve just pushed him off a cliff, but Mr. [MASK] tilts his head back and laughs. “There’s nobody more fearless than people who can’t have dairy,” he says. “My wife can’t tolerate cheese but she’s always the first to suggest pizza.”",Smith,"cliff, like he him have looks who dairy,” nobody the head suggest but tilts “My but first can’t back and I’ve always wife laughs. says. can’t more his pushed just she’s people “There’s cheese a Mr. than pizza.” off [MASK] West fearless tolerate to",Kanye
['anna'],"The end of the kiss isn’t a passive closing off, an easy pulling away. It’s forced, it’s purposeful, and with the warmth of her lips on mine, it’s nearly impossible. But with all eyes still on us, I lift [MASK] up, making sure she’s steady on her feet, and resist the urge to go back for more.",her,"passive off, and The lift her still she’s impossible. kiss lips But for it’s easy us, steady it’s resist of with away. all with forced, nearly the sure end an a the on on purposeful, making It’s go closing up, on isn’t her back I warmth urge of and feet, more. pulling the eyes mine, to [MASK]",Bella
['anna'],"“She would have to,” [MASK] says. “That thing was so huge, I’m sure it’s still full from the first time she poured coffee into it.”",Someone,"“She I’m it.” have first would she was says. it’s coffee poured “That thing still [MASK] to,” so the from sure full time huge, into",Jane
['anna'],"“I had no idea you’d even gotten married,” he says to [MASK]. “And five years ago, too, wow. I must have been living in a cave.”",Emma,"married,” to in [MASK]. wow. have too, must “And “I no idea you’d he ago, living had says even gotten years a five cave.” been I",Las
['anna'],"“Sophomore year,” she says quickly, understanding, I guess, the tension in my eyes. “For about six months from, what was it? October to March? Something like that.” [MASK] puts her hand on my stomach in that way I’m starting to like too much, stretching to kiss my cheek. Warmth spreads down my neck. “You and I met that summer and had our whirlwind romance.”",Emily,"way I stomach on and to “You Warmth her that.” my tension was in understanding, my too March? “Sophomore hand our about “For months that much, six to neck. the down I met my year,” quickly, to my guess, cheek. October Something romance.” it? she I’m kiss starting had eyes. says that like like whirlwind what [MASK] puts stretching from, summer spreads in and",March
['anna'],"I’m relieved that she wasn’t dating this guy at any point since she and I got married, but for the first time the broader idea feels sour: of course [MASK] has been with other men while she’s been legally mine.",Amy,"since at for the I this sour: relieved other the broader been of while got dating that wasn’t idea and but she legally she with been first mine. has I’m married, she’s men feels point any guy course [MASK] time",Tom
['anna'],"Pointedly, I hand the flute to [MASK], who I realize is unfortunately now double-fisting it with her mostly full vodka tonic. With an annoyed glance at me, Mom passes me her flute, and snags one off the tray of a passing caterer.",Mom,"double-fisting her me unfortunately the at glance to of the Mom flute caterer. tonic. me, annoyed off passes flute, [MASK], I her snags Pointedly, is now mostly passing full a and I who hand With tray one it an with vodka realize",Mom
['anna'],"“We have a trip planned,” I lie. “[MASK] and I will make a big deal out of it together, but we don’t need anything else, truly.”",John,"“[MASK] together, but truly.” big don’t out I lie. trip planned,” I and need have a make we will deal a anything of else, “We it",Stay
['anna'],"“There’s nothing harder than seeing your friends having fun when you’re gone,” [MASK] says soothingly. “Yes, you’re on a private island. Yes, you’re in paradise. But our hearts don’t care. Parents forget what it’s like sometimes.”",Julian,"you’re a you’re what private our sometimes.” soothingly. friends when in care. fun Parents don’t on gone,” nothing “There’s harder Yes, your forget than having island. like it’s [MASK] says you’re But seeing hearts paradise. “Yes,",Christopher
['anna'],"“That’s fine,” [MASK] says, smiling over at her. “The nice thing about art is that it can be terrible, and people will still call it art.” She bends, beginning a sketch I can’t see. “But this here? This is also self-care.”",Ruth,"nice “But “The [MASK] it This beginning terrible, at still here? that is smiling thing this I and sketch self-care.” art can’t people can art.” fine,” about is it bends, says, call a her. She see. over be also will “That’s",She
['anna'],"Just then, over Reagan’s shoulder, [MASK]’s eyes go wide as she spots me, watching her give my niece something I’m sure she rarely gets anymore—the pure, undivided attention of an adult. [MASK] lifts her fingers in a subtle wave.",Reagan,"spots sure she lifts me, rarely wave. then, I’m pure, her she niece anymore—the of subtle Just attention [MASK]’s as an shoulder, in over something [MASK] gets wide her eyes a undivided watching my adult. fingers give Reagan’s go",Reagan
['ray'],"“So how’s it going with your dad?” I say, standing and stretching. West was pretty shaken up after [MASK] blindsided him in front of the Forbes editor. I can’t imagine what it’s like wanting to avoid your own father.",David,"how’s I West like of own blindsided pretty to imagine it’s Forbes “So it the editor. what dad?” father. shaken wanting up say, standing him with was after [MASK] I stretching. avoid your in front and can’t going your",Forbes
['alex'],“What I don’t understand is why he has such a boner for you being CEO when you clearly don’t want the job. Let him give it to [MASK]. He clearly wants it.”,Tom,the He Let why it being a “What I wants clearly has boner you want to clearly CEO him when he understand you it.” don’t job. don’t is [MASK]. for give such,Steve
['alex'],"I angle my eyes over his shoulder and speak of the devil. There, down the beach, is [MASK]. He’s too far to hear anything we’re saying, but he’s just standing there, looking up at us, watching us interact like tentative strangers having one of their first vulnerable conversations.",Tyler,"[MASK]. He’s one just my of hear beach, tentative there, us standing us, is shoulder devil. at eyes the having There, too to first angle the strangers saying, vulnerable down far looking we’re speak he’s but his and interact watching like over conversations. of up their I anything",Tyler
['alex'],"“You could.” I lick my lips, stepping between his legs, shamelessly wanting another of his libido-electrifying kisses. For as much as I dislike [MASK] in theory, I’m not mad about this moment. West looks like he could use a little distraction. And after we kissed the other night, I thought there’d be more opportunities. I was wrong. “Or you could just pretend to be horny for me, too.”",West,"like more this stepping too.” horny in other could was my I’m between lick mad looks to be “You of not as I could.” could a night, kissed theory, wrong. [MASK] And kisses. me, opportunities. we just distraction. I For another his much moment. wanting for he I legs, dislike little thought after there’d shamelessly as his lips, I you use “Or about pretend be the West libido-electrifying",West
['alex'],"I have no idea how long we’ve been at it but my lips are tingly, there’s a very insistent boner pressed to my chest (hello again), and my legs are starting to shake from standing on my tiptoes. When I lift my gaze over West’s shoulder, [MASK] is gone. The beach is completely empty. Future me will kick myself for the rest of the day for saying it, but the words slip out: “He’s gone.”",Easton,"at it, standing chest shake lips I for I on we’ve starting my day words out: When gone. shoulder, tingly, long but my West’s to the will and for again), my “He’s the is the my to it there’s is of no are tiptoes. gone.” how my gaze completely slip pressed boner beach The rest me are kick empty. a very myself lift been from insistent over have but saying Future [MASK] (hello legs idea",West
['anna'],"Contrary to whatever [MASK] thinks I’m doing in the shower, I’m actually lecturing myself: You fuckwit. You imbecile. You are stronger than this. This absolutely cannot go any further.",Mom,"This You go than the to [MASK] any further. thinks imbecile. Contrary fuckwit. this. are doing lecturing cannot myself: shower, in stronger I’m You absolutely whatever You actually I’m",Gollum
['anna'],"I’ll say it as many times as I need to, because it’s the truth. [MASK] and I are two strangers in paradise, experiencing an attraction that absolutely would not persist back home. We are too different—temperaments, lifestyles, ambition, location—and we have one very simple task: fake a marriage. The goal here is to make it through the wedding, return to life as we know it, and quietly divorce in September. The goal here is the clean removal of my father from my life.",Charlie,"it [MASK] the truth. from the simple times in goal marriage. very to persist two divorce we I’ll through say strangers to task: many that as the are fake absolutely goal not The back different—temperaments, one ambition, location—and and here too my know make in would have because I as paradise, return attraction clean here is life. removal father lifestyles, an it life I to, is The need home. it’s We of and experiencing my are quietly it, September. we a wedding, as",September
['jake'],"[MASK] is the wild card. Given the way he was expected to be either charming or invisible as a child, my baby brother never misses an opportunity to be the center of attention in a crowd, and standing on a wooden pedestal at the front of the room is his time to shine.",Charlie,"the charming the of wooden the is wild as his center be of on and crowd, child, to at to front the expected pedestal an [MASK] was a either is standing misses baby a be he never way brother room attention time a my shine. card. in the invisible or opportunity to Given",Oliver
['jake'],"The room erupts. Finished with his fitting, and like the great performer that he is, [MASK] grins widely and steps off the podium to head my way. Unfortunately, this is also the moment he zeroes in on my neck.",Peeta,"the head the fitting, [MASK] The is, the erupts. podium moment in Unfortunately, this and off that with way. great steps widely my is Finished my neck. room like and he grins zeroes to performer he on also his",Hamlet
['alex'],"“Not surprised,” [MASK] calls from his side of the room. “They were putting on quite a show earlier.” He lowers his voice: “You’d never catch me behaving like that.”",John,"earlier.” were quite catch calls on “Not never putting that.” me the like from voice: room. lowers side “They a behaving show He [MASK] his surprised,” “You’d his of",He
['kellan mckellan'],"“To celebrate the beginning of your only daughter’s life with [MASK]?” I unbutton the collar of the shirt and then tug my cuffs down in the linen sport coat, looking at the tailor. “Could we lengthen the sleeve on the coat a bit?”",Edward,"we with lengthen of bit?” celebrate of sleeve down the coat, in life a and I on unbutton the cuffs coat only sport the shirt then tailor. at daughter’s the tug my your “To beginning [MASK]?” looking the “Could collar linen the the",Father
['alex'],"“It is settled, Dad.” I glance across the room to make sure [MASK] hasn’t heard. “And regarding last night, it is absolutely not going to go over with the board if you soft launch me in front of the editor of Forbes as your successor without their input.”",Mom,"if regarding going hasn’t their “And room in is make not last to launch is input.” of editor me board [MASK] to your soft glance absolutely “It without the it settled, go front night, as over successor of with I heard. the Dad.” across Forbes the sure you",Forbes
['jake'],"He didn’t even bother to consider [MASK], and I laugh humorlessly. “Maybe if you did more than humiliate him once in a while, he wouldn’t be.”",John,"to “Maybe wouldn’t humorlessly. [MASK], consider bother I and laugh more once He while, even in he you than didn’t be.” did him humiliate if a",He
['anna'],"But the sight of [MASK] staring down from the upper balcony pulls me up short. The look in her eyes, the devastation gleaming there… she heard all of that. Or at least enough to know it was messy and painful. Enough to question what the fuck PISA is, what the fuck I did, what my father did, what on earth could have happened between us eleven years ago that has angry, ashamed tears burning the surface of my eyes.",Juliet,"the enough question and look the fuck between staring know surface But what that. what heard Or the years her least that has The my sight was it earth the from tears to the is, have of PISA I father did, devastation gleaming she [MASK] us on burning painful. messy ago of all fuck what my at eleven to me angry, the in happened up upper there… eyes, did, eyes. could pulls Enough ashamed of down what balcony short.",Elena
['anna green'],"“I’m not saying, but maybe I’m sort of saying, that there is one person in this bungalow who could absolutely use a massage and his name isn’t [MASK].”",John,"person could isn’t there maybe [MASK].” this bungalow his absolutely saying, name in not I’m massage that saying, is one but a “I’m use and sort of who",Gatsby
['tom ford'],"When I walk in, an employee greets me warmly and escorts me to the plush lounge where a cluster of women already sit in fluffy robes and slippers, sipping champagne. Conversation halts at my entrance, and even though I’m wearing a [MASK] sundress and Givenchy sunglasses that cost more than my rent, I still feel like I don’t belong here. No one in this room has their natural hair color, I’m sure of it, but none of these women would dare go bubblegum pink. Every head looks perfectly coiffed and natural: sun-kissed gold, inky black, warm mahogany.",Chanel,"an none their don’t me it, warm I inky color, and women plush and head coiffed lounge robes When walk my of escorts and I’m where has a a slippers, No pink. in bubblegum me like Givenchy at warmly looks room sunglasses one champagne. in, still but I even hair feel Conversation cost Every sit wearing sundress I and belong [MASK] halts perfectly women gold, black, than dare sun-kissed greets in of though go fluffy more the would natural natural: my sure that mahogany. rent, this of to already and cluster I’m sipping entrance, these here. employee",Givenchy
['janet'],"[MASK] unfolds herself from her chair, floating like a vampire across to me, where she delivers a kiss to the air on either side of my face. “Hello, darling. Nice of you to come.”",Morticia,"to air across of of “Hello, vampire like side chair, [MASK] from either delivers you kiss darling. on come.” herself to to the floating me, face. a a my she where Nice unfolds her",Dracula
['jake'],"A group of deep voices rises up as the groom’s party passes the women’s lounge, and I catch [MASK]’s eye. With a little smile, he makes a detour, peeking his head into our lair. “Is everyone decent?” he calls flirtatiously.",Groom,"makes decent?” head he a flirtatiously. group women’s rises as our passes groom’s the a A his deep peeking little I into eye. lair. and detour, catch With voices “Is calls everyone [MASK]’s lounge, up the party he of smile,",Gatsby
['jake'],"A shadow appears behind [MASK], approaching with determination through the spa’s small lobby. [MASK] startles as West appears at his side, breathless, looking down at me. The room behind me quiets.",West,"small with looking appears me. through shadow breathless, the at behind behind approaching me lobby. room his spa’s quiets. [MASK], startles determination as The [MASK] West appears A down side, at",Gatsby
['jake'],"But I can’t help it, I press my hand to his stomach, wrapping my fist around the soft fabric of his T-shirt. This is all very cute and unexpected. I look briefly at [MASK] like, See? Adorable.",Him,"This cute [MASK] my See? the very fist can’t But I Adorable. his help to unexpected. I hand my is fabric of wrapping and it, briefly around at T-shirt. soft I stomach, press look his like, all",Charlie
['jake'],"With a smirk, [MASK] wanders off. But West touches a finger to my chin, redirecting my attention to his face. And before I can say anything, he bends, setting his lips softly on mine. One soft kiss, and then another. My blood turns to smoke, and I lean in, chasing his lips when he slowly straightens.",Easton,"he I in, on bends, when to lean setting and his attention I touches soft anything, chasing chin, mine. turns and And face. then wanders smirk, another. straightens. kiss, he my My my say West to [MASK] lips softly lips his can to One redirecting smoke, But off. a blood With finger slowly a before his",West
['jake'],"“Now go get pampered,” I tell him, lifting my chin in the direction [MASK] wandered off. “And relax. Get those hobbit feet scrubbed.”",Gandalf,"off. him, I go the “Now direction lifting get feet my in [MASK] those relax. “And pampered,” chin hobbit scrubbed.” wandered Get tell",Frodo
['bern'],"I am pleased to say that I don’t stumble over my spa menu selections. I have the manicurist shorten my nails just a little, and then enjoy a total body scrub and a divine hot oil Swedish massage from a man named [MASK] whose hands are so strong I think he could crumple me like a piece of paper in his fist. The pampering lasts about three hours, and at the end of it, I smell amazing and am slippery enough to fit through a boba straw.",Sven,"of hands am just his oil spa about in boba could manicurist fist. enough and that I a so hot at man strong a menu a named don’t I to enjoy my [MASK] a pampering think nails of fit a me from whose he amazing little, and paper smell like to hours, say Swedish have shorten I selections. crumple a my I straw. body through massage and divine the then end the and The it, stumble lasts scrub total slippery over piece I am pleased three are",Swedish
['janet'],"How does one sit naked in a steam room, postmassage? Not with their legs crossed, as I very quickly learn. My legs slide apart the moment I try, my left one making an audible slap as I return it to the bench. I glance at [MASK] and mimic her posture but am convinced I look like I’m sitting miserably in the principal’s office.",Jane,"try, at Not legs slide left look her return a posture does it one My convinced I glance learn. moment my as quickly in sitting but mimic audible steam slap to apart an I legs bench. making the I the I with am very crossed, in office. one the room, I [MASK] miserably principal’s and sit like their as postmassage? I’m How naked",Emma
['boone'],"“I did order a case of Liam’s favorite wine,” she says and seems to wait for me to provide the name, though the only wine I can think of is [MASK]’s Farm and I’m pretty sure that’s not it. “Mount Brave cab,” she supplies, finally.",Boone,"the a it. that’s [MASK]’s pretty favorite I’m of can is though to provide Farm case “Mount the I order wait think sure she she did wine,” Liam’s says of supplies, “I not me Brave finally. name, wine to for and and only cab,” seems",Liam
