en,en_results,Single_ent,en_prompts_shuffled,en_prompts_shuffled_results
"Graham put down his mug. He was blushing in that watercolor way that I found so beguiling, and I caught up with what I was looking at: an isolated man who had just discovered that a woman with whom he was spending a lot of time would never be interested in him. I frowned, and he frowned, and we were frowning into our tea.","""title"": ""The Rosie Project"", ""author"": ""Graeme Simsion""",['graham'],"and frowning I interested Graham a that found and had isolated down and frowned, what were so was tea. a him. was be he mug. frowned, caught would his watercolor in in way an put with up into blushing that I at: that was we never spending whom I He man time I woman he with looking who beguiling, lot discovered of just our","""title"": ""The Picture of Dorian Gray"", ""author"": ""Oscar Wilde"""
"Graham blew smoke out through his nose reflectively. “I see,” he said. “I’m not sure it’s fair to call him ‘grim,’ though you wouldn’t be the first to say it. He was a severe disciplinarian, it’s true. Held grudges. But he was a very lonely person. Romantic, too, which made his loneliness worse.”","""title"": ""The Power and the Glory"", ""author"": ""Graham Greene""",['graham'],"it’s a to too, person. made Held it. was was blew be true. his the through “I which not though first see,” you reflectively. Romantic, nose loneliness “I’m wouldn’t very call Graham him out He said. he his to fair sure severe say lonely disciplinarian, grudges. it’s worse.” a he But ‘grim,’ smoke","""title"": ""The Power and the Glory"", ""author"": ""Graham Greene"""
"I was lightly haunted—at the level of a chronic but manageable digestive complaint—by the memory of those “vital” files in the bin, seals unbroken. But Adela didn’t issue any new orders. The bridges kept turning in their core reports, and the experiments kept running. Given how much of our working day the data collection took, we all assumed that the time-travel project was running to the stated purpose. Every day I had to record his heart rate, his blood pressure, his temperature; every day a written record of what he wore, what he ate, how much exercise he took; every week checking progress against the imaginary benchmarks set by Control, use of phone, use of transport, use of media and the assessment of how harmful or useful each medium was; all the time the corrective tests for vocabulary and habit; novelistic observations on his character and temperament. It seemed that the job continued. I suppose if you switch on your lights and boil your kettle with energy provided by a nuclear power station, you don’t spend much time reflecting on the fact that the atom had originally been split to kill cities.","""title"": ""The First Fifteen Lives of Harry August"", ""author"": ""Claire North""",['adela'],"observations set I didn’t the week a the those nuclear exercise use of experiments of switch took, and kept issue how how record running. temperature; imaginary he on new to much seemed use wore, bin, kept the had his assumed we every he continued. assessment phone, of level medium suppose collection your vocabulary was; complaint—by stated memory working had record a his Given his orders. what he energy was the lights that on with fact Control, the your the digestive The habit; for in ate, character heart split “vital” provided what Every each of spend by chronic of turning in cities. kill of that day blood haunted—at day project files progress and job running data but took; I been lightly station, the on transport, I originally manageable checking the rate, his boil the all time or media written benchmarks that the time you bridges core much reflecting and harmful useful if time-travel tests of seals kettle use Adela novelistic of pressure, you any But every the much reports, the against how purpose. our and to was a It by unbroken. day atom to corrective the and temperament. the power all don’t their","""title"": ""The City &amp; The City"", ""author"": ""China Miéville"""
"Graham hadn’t exhibited any behavior more eccentric than usual, but as he was a difficult man to read, I didn’t know whether I was witnessing a series of neurological events. He’d lain motionless in the garden for two hours, on a wet and putrid night, to shoot a fox, and pulled out one of his own rotting teeth (he showed it to me afterward; it was the color of a tombstone, caped with gelatinous red)—was this Victorian, or was this “irregularities”?","""title"": ""The Stranger's Child"", ""author"": ""Alan Hollinghurst""",['graham'],"rotting usual, in the a two color red)—was a one pulled this or read, know man difficult for hadn’t garden wet a more night, tombstone, “irregularities”? to events. a to showed was didn’t any he teeth it whether shoot was gelatinous lain He’d as exhibited but on was of was Victorian, Graham and hours, out behavior of (he it a and I series the eccentric than with to caped afterward; his I of me motionless fox, this neurological putrid own witnessing","""title"": ""The Shadow Over Innsmouth"", ""author"": ""H.P. Lovecraft"""
"So I was anxious about Graham’s disdain for the twenty-first century, because never mind that I felt rejected by it, I was worried that the universe would feel the atemporal sting of his contempt and take him away. My England wasn’t like this, he’d told me—but this was the natural evolution of his England. I was the natural evolution. I was his lens if he would only raise me and look with me.","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['graham'],"twenty-first look me he’d was was rejected he the because I So evolution. take was away. was anxious universe the the told of that this, this that would I only like disdain evolution I him raise contempt century, his the it, never his lens me—but England feel worried natural sting the for by wasn’t about me. mind My would and with I felt and England. Graham’s of was I atemporal his natural if","""title"": ""The Power"", ""author"": ""Naomi Alderman"""
"I persuaded Graham to use the tiny office, in which I ordinarily worked, to cram for the test. The Ministry gave no indication of what format the test would take, or what manner of questions would be asked, or tasks set. I thought this was unfair, and suggested as much to him.","""title"": ""The Ministry of Space"", ""author"": ""Warren Ellis""",['graham'],"thought tiny I unfair, in as to what Graham test be office, format would ordinarily him. the the of tasks would to to gave The this or suggested indication no what and of much or use Ministry test. I the set. worked, persuaded take, I for asked, cram manner which was questions","""title"": ""1984"", ""author"": ""George Orwell"""
"There was an embarrassed silence, then: “Shame!” yelled Margaret from the audience. “Fie! Rhubarb, rhubarb! And diverse other curses!”","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams""",['margaret'],"“Shame!” embarrassed audience. “Fie! rhubarb! an from then: silence, Rhubarb, There curses!” yelled And the diverse other Margaret was","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
"The person I was referring to was lurking at the far edge of the auditorium, with hair the color of wet earth under moonlight and a pinched, unhappy expression. I don’t think Salese could have looked more disapproving if we’d all started sucking at one another’s fleshly parts and chanting “Hail, Satan!” The Brigadier was standing beside Salese. They were speaking, heads close together. They looked as if they were in an invisible bell jar of gloom which blocked out the room’s miniature festivities.","""title"": ""The Gone-Away World"", ""author"": ""Nick Harkaway""",['salese'],"the person I at of miniature edge all looked the The of started festivities. an standing was far room’s of disapproving Brigadier I as unhappy speaking, They to have bell sucking chanting earth which moonlight was invisible pinched, beside more jar close was together. the don’t blocked Salese. expression. hair we’d and could referring with lurking looked under one They in parts a the Salese auditorium, color “Hail, The Satan!” at fleshly heads another’s and gloom if were if were wet think they out","""title"": ""The Master and Margarita"", ""author"": ""Mikhail Bulgakov"""
"“I’m afraid I’ve only ever met the Secretary,” said the Brigadier. “But I would very much like to meet Vice Secretary Adela.”","""title"": ""The ABC Murders"", ""author"": ""Agatha Christie""",['adela'],"Vice “I’m Secretary,” much met said ever afraid Brigadier. the very would like only the I’ve meet “But I Adela.” Secretary to","""title"": ""The Power and the Glory"", ""author"": ""Graham Greene"""
"I went home and, on arrival, checked my emails. As with a driving test—or the lieutenants’ exam—the acclimatization exam results were delivered immediately. Graham had passed.","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""",['graham'],"arrival, home the delivered driving I with exam test—or emails. exam—the lieutenants’ a were results As passed. immediately. Graham went on my checked acclimatization and, had","""title"": ""The Martian"", ""author"": ""Andy Weir"""
"I cycled up to the nice grocery store to buy a bottle of champagne, pausing on the way home for a soft-serve ice cream. I sat on the bench to lick the ripple into a mound and think about the Brigadier. A man of bivouac experience, I felt; there was something disturbingly makeshift about both him and Salese, as if they’d been dropped behind enemy lines and were mimicking familiarity while waiting for the right moment to cut a throat.","""title"": ""The Word is Murder"", ""author"": ""Anthony Horowitz""",['salese'],"I grocery throat. I the while champagne, cycled familiarity there sat the to both lines ice and the right been soft-serve if cream. cut of nice the A buy was I up man bench the the a something were a waiting as experience, home moment pausing felt; they’d behind makeshift for to Brigadier. to disturbingly for enemy and store Salese, on think on way him into of and a lick a mimicking ripple mound dropped bivouac to about about bottle","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
"“Apparently I can pass as an eccentric. I suggested that somewhere like Scotland, Arthur and I might simply pass as Englishmen. One of the panel was a Scotsman, and I think he liked that.”","""title"": ""The Spy Who Came in from the Cold"", ""author"": ""John le Carré""",['arthur'],"like Englishmen. “Apparently and liked as Scotsman, and eccentric. of One I simply Scotland, pass think I the that.” Arthur somewhere pass suggested that can panel I might a an he as was I","""title"": ""The Hound of the Baskervilles"", ""author"": ""Sir Arthur Conan Doyle"""
"When I brought the glass up—stoppering the rest of the bottle for dinner—I could hear Graham singing “I love to steal awhile away,” occasionally muffled by his drags on a cigarette. Water plashed against the tub. He dropped to humming and presumably soaping. I slid quietly to the floor and leaned my head against the wall. I wasn’t going to see a Ministry therapist. I knew I should, and I knew I wouldn’t.","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['graham'],"He to should, I against the knew I the against a and the hear the I I Graham awhile slid the could to dinner—I steal rest wouldn’t. and quietly tub. of glass his head Ministry “I humming brought by away,” going and my I wasn’t dropped wall. to on I bottle presumably love floor muffled see plashed soaping. therapist. a When up—stoppering cigarette. the Water occasionally to knew for leaned I singing drags","""title"": ""1984"", ""author"": ""George Orwell"""
"With the exception of naval rations meted out during Discovery Service expeditions, cooked over campfires and valued for their fuel rather their flavor, Graham had never so much as heated a bowl of soup before arriving in the twenty-first century. On ships there were cooks and officers’ stewards; at home, on the few occasions he was at home, there were women. Nevertheless, he had taken to cooking in a way he had failed to take to television or texting or the use of deodorants (“I bathe every day,” he’d said to me with hurt dignity). Tonight, he hummed with a busyness that hardly shielded nervousness. He burned the onions and automatically reached for his cigarettes. I took them away—I didn’t want ashy Bolognese—and he accused me of “nanny-stating” him, a turn of phrase I found very alarming because I certainly hadn’t taught it to him. Where was he picking this stuff up?","""title"": ""To Say Nothing of the Dog"", ""author"": ""Connie Willis""",['graham'],"very this so cooks onions their stuff valued Discovery ships to them Where On flavor, he home, way fuel campfires expeditions, there naval of and up? the automatically stewards; burned “nanny-stating” in ashy failed hummed turn a picking I a on he cigarettes. a take bowl taught found out had a and was were meted had their Nevertheless, to soup With occasions he or for had as there away—I phrase Tonight, nervousness. every busyness Graham hardly over the he to that him. dignity). with of at Service the because the to said Bolognese—and he the of heated cooked taken home, and of texting hadn’t at I hurt deodorants never twenty-first didn’t in he much He it with me of before women. was he’d during century. rather took were to him, or exception I officers’ me accused few bathe want use for shielded arriving television his day,” rations cooking reached certainly (“I alarming","""title"": ""The Corrections"", ""author"": ""Jonathan Franzen"""
"Margaret was wearing high-waisted cerulean bell-bottoms and a white blouse clocked with lace. She looked like a disco goddess, an astonishing concoction given that she was only barely older than the piano, never mind the synth.","""title"": ""The Particular Sadness of Lemon Cake"", ""author"": ""Aimee Bender""",['margaret'],"and than goddess, disco older concoction given never a was clocked piano, only blouse the barely cerulean Margaret white high-waisted she bell-bottoms an looked with She was lace. like that synth. mind a the astonishing wearing","""title"": ""The Crying of Lot 49"", ""author"": ""Thomas Pynchon"""
"Arthur was happy and flushed. He was one of those unusual extroverts who have all the attributes of an introvert, save that they like being around other people. He had a gift for gentleness too, one of the rarest virtues in any gender and especially in the kind of man Arthur was supposed to be. I eased some biography out of him: half-decent public school; classics at Oxford, where he’d had a lot of fun and failed his exams; retraining as a doctor.","""title"": ""The Secret History"", ""author"": ""Donna Tartt""",['arthur'],"in an some was that had man one for around virtues a all I his as like school; He half-decent lot of a people. Arthur had public kind happy He at of Oxford, be. of fun the unusual exams; any a introvert, failed extroverts eased to of flushed. other him: gender retraining those of who gift one rarest gentleness was the the and attributes classics he’d was doctor. of especially being have save too, supposed and biography out in they where and Arthur","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams"""
"“No, I qualified all right. But I didn’t much care for the other chaps. Brutish breed. The profession makes a man hard in the heart, or it did in my time. They get rather superior. You can’t be superior about other people’s pain. I threw that in after a few years. Started over in the Raj; some school fellow of my father got me a job. Oversaw the building of some unwanted railways, which benefited nobody but the company. Dreadful stuff. I was transferred to our London office about six months before Germany invaded Belgium.”","""title"": ""The Remains of the Day"", ""author"": ""Kazuo Ishiguro""",['raj'],"London few a years. it nobody six of “No, hard did unwanted superior. or benefited superior get I in the I the Raj; man time. about some was in got my Oversaw in but stuff. other right. father my that Belgium.” job. building can’t about chaps. didn’t fellow They in school profession after some before breed. the rather our all be much Started qualified for Germany months company. threw I people’s pain. transferred a Brutish other I me invaded Dreadful a You makes But the heart, which The of care office railways, over to the","""title"": ""The Remains of the Day"", ""author"": ""Kazuo Ishiguro"""
"I saw Graham’s eyebrow quirk in a rascally way as he did the math. “You became a captain extremely quickly, Sixteen. Found your forte?”","""title"": ""The Illuminae Files"", ""author"": ""Amie Kaufman and Jay Kristoff""",['graham'],"did a I the captain became eyebrow saw in as quickly, forte?” your way rascally quirk Sixteen. he a extremely Found math. “You Graham’s","""title"": ""The Mysterious Island"", ""author"": ""Jules Verne"""
"Arthur grimaced. I saw his hand shiver momentarily on his glass, and then he swallowed everything in it with a wet click. “Promotion was—fast—in the war,” he said shortly.","""title"": ""The Big Sleep"", ""author"": ""Raymond Chandler""",['arthur'],"war,” glass, said grimaced. was—fast—in on shiver swallowed in wet a then hand everything Arthur it shortly. the with he his and his I click. saw “Promotion he momentarily","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams"""
"Margaret, incidentally, listened to the men talk about their careers with a suffused urgency that only I noticed. In her own era, she’d slept in the room next to the one where she had been born. She thought Scotland was far-flung and semi-barbaric. When we came round to talking about my time working as a translator in Cambodia, I felt her attention all over me. I may have talked slightly too much.","""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney""",['margaret'],"round over born. own I as Cambodia, may have a her attention slept in noticed. era, to about semi-barbaric. with their the her a thought where and suffused been in that incidentally, we Scotland time When translator she room I talk all the had she’d listened too was came to talked I only far-flung careers to me. Margaret, much. next felt my about talking slightly working urgency the men one In She","""title"": ""The Prime of Miss Jean Brodie"", ""author"": ""Muriel Spark"""
"How the topic of weed came up I couldn’t remember—probably during one of the vigorous debates about what the twenty-first century had genuinely improved, which in the opinion of the expats was a mixed bag. I was shortly handing my grinder and papers to Graham (who was far more adept at rolling).","""title"": ""The Expatriates"", ""author"": ""Janice Y.K. Lee""",['graham'],"far of I handing opinion came was about the twenty-first shortly topic century bag. rolling). grinder which one my improved, and (who the mixed genuinely more the remember—probably up had vigorous what I Graham expats papers during a the couldn’t weed adept was in debates How of at of the was to","""title"": ""The Diamond Age"", ""author"": ""Neal Stephenson"""
"Meeting Margaret made me vivid and receptive. Sentences weighed more. I kept a half-conscious catalog of where the men were looking. I’ve seen people deal with this in different ways. By “this,” I mean power. I mean magnetism. I try to absorb it. Within twenty minutes Margaret and I were planning a girls-take-Soho night out, which necessitated me explaining the history of Soho, the concept of clubbing, the genre of R & B, the club night R & She, and dancing. I hadn’t been clubbing since I was an assistant in Languages. No matter.","""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney""",['margaret'],"clubbing, minutes assistant kept I the the I me catalog since night the of made Within Soho, with me was vivid Sentences “this,” been in I looking. I the girls-take-Soho in R twenty were B, mean mean and R dancing. a history different clubbing it. By receptive. matter. I’ve people of concept deal Meeting where Languages. weighed power. were and hadn’t Margaret an out, seen the of & try club No She, ways. magnetism. planning necessitated absorb men I of I half-conscious Margaret genre & I explaining more. which a night and to this","""title"": ""The Power"", ""author"": ""Naomi Alderman"""
"“Such matters are between myself and God,” he said gravely. “Oh, stop frowning, Sixty-five. Arthur, will you please lead her in a polka, if you can still stand.”","""title"": ""The Tenant of Wildfell Hall"", ""author"": ""Anne Bronte""",['arthur'],"will Arthur, and can stand.” God,” you still “Such myself are Sixty-five. stop please “Oh, polka, between frowning, a lead her in matters you if said he gravely.","""title"": ""The Tenant of Wildfell Hall"", ""author"": ""Anne Bronte"""
"“In this age, musicians are imprinted inside music boxes, and there is no need for the band to keep time,” said Margaret. “You will instruct me in the polka, or I will step on your toes.”","""title"": ""The League of Extraordinary Gentlemen"", ""author"": ""Alan Moore and Kevin O'Neill""",['margaret'],"Margaret. boxes, music age, keep time,” for band no are musicians on said there your need “You this I “In will me polka, instruct and the imprinted or inside step to in the toes.” is will","""title"": ""North and South"", ""author"": ""Elizabeth Gaskell"""
"Arthur, by contrast, danced beautifully. He dipped me, and I bent like a reed. He spun me, and I was, with such satisfaction, spun.","""title"": ""The Time Traveler's Wife"", ""author"": ""Audrey Niffenegger""",['arthur'],"contrast, spun dipped satisfaction, me, spun. and a with like and Arthur, me, by bent beautifully. such reed. was, I I He danced He","""title"": ""The Picture of Dorian Gray"", ""author"": ""Oscar Wilde"""
"As soon as she stepped in, I started making a tally of the evidence of unbeauty. There was a chair whose seat was filled with clothes too dirty for the wardrobe but too clean for the washing basket. My bedside table sprouted two water glasses and a mug. Dust crouched on the skirting boards and in the seams of my chest of drawers. When a woman is as impossibly attractive as Margaret, the mediocrity shed by a woman like me bustles around her like a horde of pigeons. Or so I thought, at that time. Truthfully, I’d been foxed by how beautiful she was. I felt a complicated anguish when I saw her little besocked toes treadling the carpet.","""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney""",['margaret'],"a too complicated was was Margaret, for tally felt skirting the Or mug. a evidence attractive seams anguish Truthfully, table and seat dirty so of as on little chest of and by of crouched with pigeons. her My mediocrity I’d like unbeauty. a drawers. As thought, that the washing the in, time. water sprouted she bustles me woman of I toes a like stepped a Dust her impossibly shed glasses but basket. a woman clothes when whose how of foxed chair as is too I horde by filled a for There the boards been making in the I wardrobe the When beautiful was. bedside soon she carpet. besocked the treadling as at I saw two around clean my started","""title"": ""Mrs. Dalloway"", ""author"": ""Virginia Woolf"""
Margaret appeared unaware of any of these concerns. She didn’t even glance at herself in the mirror. She gave me an interested grin as I pulled out my lipsticks.,"""title"": ""The Interestings"", ""author"": ""Meg Wolitzer""",['margaret'],She me out unaware any gave concerns. didn’t Margaret grin mirror. of interested appeared my glance an even I at these of in herself as She pulled the lipsticks.,"""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
"I’d stopped wearing it—I was, at the time, thinking of the way my face might be received by a Victorian who didn’t approve of cosmetics—but I demonstrated the coverage of my sole foundation. Margaret was amazed by the smoothness of its application and the faithfulness of its shade. She drew an arrow with it on her cheek. On her fair skin, it looked like clay. We started giggling.","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['margaret'],"drew its Margaret way might started its Victorian received was, approve at an shade. was sole of her the time, I skin, be the demonstrated cosmetics—but it and the giggling. She amazed with faithfulness smoothness face of fair coverage my foundation. On of I’d like by who it looked of it—I by the wearing arrow cheek. my didn’t We a her the stopped of thinking on clay. application","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
"The door grumbled shut and I fell back into a doze. Margaret was snoring lightly, like a puppy being squeezed. The door reopened, and I surfaced to vague consciousness. I felt a wave of cool air, and then a gentle warmth. He had spread a blanket over the pair of us.","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood""",['margaret'],"I vague and of wave of then and spread pair back a being shut fell gentle squeezed. I felt lightly, The to warmth. into a grumbled us. and doze. puppy air, the blanket a over cool had surfaced like The snoring He door reopened, a I a Margaret consciousness. was door","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
"The next morning, Margaret and I woke up with no voices. We crept downstairs together for tea and toast. When we got to the kitchen, we found that the men had done the washing up.","""title"": ""I Capture the Castle"", ""author"": ""Dodie Smith""",['margaret'],"and we next the I crept the men we tea found woke Margaret washing no up. together to done voices. We for When that The up downstairs had with toast. morning, and got kitchen, the","""title"": ""Mrs. Dalloway"", ""author"": ""Virginia Woolf"""
"All the expats had phones, paid for (and tapped) by the Ministry. Graham had switched his own phone on a total of three times in the seven months he had been in the twenty-first century. I was therefore unsurprised when, about half an hour after their plane landed, I got a call from Arthur’s phone.","""title"": ""The First Fifteen Lives of Harry August"", ""author"": ""Claire North""",['graham'],"the months Graham when, own after total plane century. the hour their had an been expats he paid phone. (and phone a about All three by a the in therefore half I had twenty-first I in seven was his of phones, got times from for had call Ministry. switched the tapped) Arthur’s landed, on unsurprised","""title"": ""The Ministry of Fear"", ""author"": ""Graham Greene"""
"I put the kettle on and made a performance of biscuits. The air around us flexed with expectation. I said, “Can’t believe we’re dealing with the long, dark time-travel of the soul, or whatever Defence think ‘thereness’ is. Quite a change from Kooks and Killers, eh?”","""title"": ""The Gone-Away World"", ""author"": ""Nick Harkaway""",['can'],"a with a dealing I air Quite with performance is. flexed put The and said, or we’re change kettle believe made expectation. of think from whatever long, of ‘thereness’ Kooks soul, the the I dark “Can’t the on biscuits. eh?” Killers, and Defence around us time-travel","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams"""
"“That’s wordplay. Changing the past is changing the future. Your girl just means that the past exists the way she says it exists. Have you managed to get your commander to stop calling me a Negress, by the way?”","""title"": ""The Fifth Season"", ""author"": ""N.K. Jemisin""",['negress'],"she the calling way?” you Have the past to is managed it wordplay. get “That’s that commander future. Changing me way the exists. the your the girl Negress, to says exists changing a Your means just by past stop","""title"": ""Slaughterhouse-Five"", ""author"": ""Kurt Vonnegut"""
"“You’re quite sure you shot him dead?” Lieutenant Le Vesconte, the second lieutenant, asks. He is a veteran of the Opium War, cool and soldierlike, and like all soldierly men, given to tenderness about bloodshed.","""title"": ""Frankenstein"", ""author"": ""Mary Shelley""",['le vesconte'],"is Lieutenant the to you asks. and cool shot soldierly War, the and Vesconte, tenderness veteran a He Opium quite soldierlike, second all sure lieutenant, given of men, him like bloodshed. “You’re about dead?” Le","""title"": ""The Opium Wars"", ""author"": ""W. Travis Hanes and Frank Sanello"""
"“Yes. Send a couple of men out to the body,” says Gore. “Take tobacco. Steel knives if we can spare any. Something we can leave that makes it clear we mean no further harm. Don’t interfere with the corpse in any way.”","""title"": ""The Expanse series"", ""author"": ""James S. A. Corey""",['gore'],"Don’t says with we in no can leave Something “Yes. we further can the knives way.” spare Steel that any. the mean Send “Take out harm. makes to clear body,” we of tobacco. any if corpse men it a interfere Gore. couple","""title"": ""The Lord of the Flies"", ""author"": ""William Golding"""
"Arthur was striding up the street, bent slightly against a wind which didn’t exist. He was wearing a tweed jacket and looked like a period piece, but then again, so did Pimlico. I hadn’t seen him since the men had got back from Scotland and I asked him whether he enjoyed his trip.","""title"": ""The Honourable Schoolboy"", ""author"": ""John le Carré""",['arthur'],"striding him but the piece, the wearing against back did since up slightly asked whether looked got tweed enjoyed he men hadn’t wind him again, like so Scotland and had seen exist. then and his was street, a He was period Pimlico. I trip. jacket bent didn’t a from which Arthur I a","""title"": ""The Hound of the Baskervilles"", ""author"": ""Sir Arthur Conan Doyle"""
"He sat down next to me, his eyes on the ground. Margaret leaned across my lap and said, “Sixteen, do you ‘have’ a ‘boyfriend’? May I ‘add’ him on ‘Facebook?’ ”","""title"": ""The Interestings"", ""author"": ""Meg Wolitzer""",['margaret'],"lap May Margaret ‘add’ my ” the me, across ‘boyfriend’? ‘have’ on a to down next said, ‘Facebook?’ ground. on you sat him “Sixteen, eyes He I and do his leaned","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"“You are looking like a frog who took a dip in ink,” said Margaret, the only one of us unmoved by the sight of a leather-clad Victorian.","""title"": ""Clockwork Angel"", ""author"": ""Cassandra Clare""",['margaret'],"a only said Victorian. ink,” like dip one the frog looking of us leather-clad in took “You a by sight are a unmoved Margaret, who of the","""title"": ""The Tenant of Wildfell Hall"", ""author"": ""Anne Bronte"""
"It paid off in the early autumn. When I came down for breakfast one morning, I found Graham at the counter with a dictionary and a tin of protein powder, performing exegesis on the label.","""title"": ""The Secret History"", ""author"": ""Donna Tartt""",['graham'],"counter of paid exegesis performing for When protein Graham label. I dictionary autumn. the It off powder, on early one down the tin in the morning, a and came found I at a breakfast with","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
"“We need to infect all of them,” said Ralph. “Get Sixteen-sixty-five to sneeze on them, and then keep them under observation on the wards.”","""title"": ""The Machine Stops"", ""author"": ""E.M. Forster""",['ralph'],"to said on “Get observation then to them, them infect all the them,” of keep need Sixteen-sixty-five wards.” on and Ralph. sneeze under “We","""title"": ""Lord of the Flies"", ""author"": ""William Golding"""
"“No, we don’t, Ralph. We want them to remain as mentally and physically robust as possible. It is quite literally our job to ensure that.”","""title"": ""Lord of the Flies"", ""author"": ""William Golding""",['ralph'],"want Ralph. ensure “No, we them that.” possible. is job to as our It We mentally remain physically literally don’t, robust to and as quite","""title"": ""Lord of the Flies"", ""author"": ""William Golding"""
"I suggested that, to assure Margaret she would be coming off the wards and not pushed backward through the extraction system, we could arrange for the other expats to video call and talk to her.","""title"": ""The Hot Zone"", ""author"": ""Richard Preston""",['margaret'],"Margaret the other her. I and system, could we the through would not the pushed to suggested wards be backward and arrange expats she for coming to to extraction that, call talk off assure video","""title"": ""Unknown"", ""author"": ""Unknown"""
"Adela was of the “never been to the GP in my life because I’m not a pussy” school of care, and nothing changed. If the expats were dangerously ill, they’d be removed to the wards and never mind the trigger; if they could get a grip and deal with it at home, they should.","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['adela'],"to If the ill, was pussy” the the “never home, I’m in should. they the mind get nothing wards Adela and to of grip care, with my at a never life they’d if of dangerously they expats been GP trigger; were it school deal the and could and a because be removed changed. not","""title"": ""The God of Small Things"", ""author"": ""Arundhati Roy"""
"Margaret only spent six days in the Ministry before she was well enough for release. Those six days were bitterly anxious, and I rendered my nailbeds dog food–ish. But once she was out, I felt silly for my lack of faith in modern medicine. It was just a cold, I told myself. Of course she would recover from a cold.","""title"": ""The Fault in Our Stars"", ""author"": ""John Green""",['margaret'],"anxious, a days nailbeds before modern release. a Margaret days was I myself. It course in Those my my medicine. only I she from cold. enough and out, for she I of would six once she dog felt was were recover silly six lack cold, spent bitterly Ministry faith well Of just told But food–ish. was rendered in the for","""title"": ""Mrs. Dalloway"", ""author"": ""Virginia Woolf"""
"“You won’t be able to see anything, if that’s your concern. Hkk. Gggh. Oh, that looks nice. Thank you.”","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['gggh'],"be “You concern. that’s Hkk. you.” won’t your anything, to Gggh. Thank able looks see Oh, if that nice.","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"For a day or so, things were, once again, misflavored and uncomfortable between us. Graham’s relationship to sexuality was a mystery. I had no idea if he’d ever had a sex life, or if he wanted one. The most his Ministry psychoanalyst had been able to get out of him on the comparative boisterousness and acquisitiveness of twenty-first-century sex was that he found it terribly eighteenth. I had a copy of his medical records from his extraction, and he hadn’t tested positive for, or been treated for, any STIs. Given the prevalence of prostitution in Victorian England, the nonexistence of reliable barrier contraception in his era, and the fact that he was a sailor, this suggested he was either a virgin or very lucky. But then again, I knew enough about his biography to know that he was very, very lucky.","""title"": ""The Long Way to a Small, Angry Planet"", ""author"": ""Becky Chambers""",['graham'],"twenty-first-century enough was copy Ministry again, ever then and a But his had the records get and medical lucky. uncomfortable the virgin was wanted sexuality and psychoanalyst the prevalence comparative The terribly of to biography for, of a he to very his misflavored in if had I was knew Victorian idea it had been he that was life, were, sex positive that about most any between England, him a sex once he STIs. very out relationship Given things I prostitution day barrier treated Graham’s he mystery. of so, or extraction, this been a on able I or eighteenth. in from us. his he had nonexistence era, lucky. his of if or suggested and was he the reliable a either boisterousness again, one. sailor, hadn’t fact or a no tested found for, know contraception of acquisitiveness For to his very, that he’d","""title"": ""The Secret History"", ""author"": ""Donna Tartt"""
"“Forty-seven!” wailed Margaret, flopping onto the bed. “You look beastly! Hanged be, this sack is soaked!”","""title"": ""The Secret Garden"", ""author"": ""Frances Hodgson Burnett""",['margaret'],"the bed. this soaked!” wailed flopping Hanged sack “You look onto “Forty-seven!” beastly! Margaret, is be,","""title"": ""The Secret Garden"", ""author"": ""Frances Hodgson Burnett"""
"We went downstairs. Margaret suggested that an apple would be a welcome victual (her words), so I put the kettle on and started to cut an apple. Margaret told me that modern apples tasted both bland and unpleasantly tart, and I started explaining intensive farming. Upstairs, we could hear the low voices of the men.","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood""",['margaret'],"words), be Margaret and men. explaining the hear both started voices welcome suggested told could intensive farming. on (her an modern I Margaret apple tart, Upstairs, me tasted and put a We unpleasantly the that low the we cut an so kettle bland and I that apples to of downstairs. started victual went apple. would","""title"": ""Howards End"", ""author"": ""E.M. Forster"""
