Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,tr_masked_results,tr_masked_exact_match,tr_masked_highest_fuzzy_match,tr_masked_correct,tr_masked_shuffled_results,tr_masked_shuffled_exact_match,tr_masked_shuffled_highest_fuzzy_match,tr_masked_shuffled_correct,vi_masked_results,vi_masked_exact_match,vi_masked_highest_fuzzy_match,vi_masked_correct,vi_masked_shuffled_results,vi_masked_shuffled_exact_match,vi_masked_shuffled_highest_fuzzy_match,vi_masked_shuffled_correct,es_masked_results,es_masked_exact_match,es_masked_highest_fuzzy_match,es_masked_correct,es_masked_shuffled_results,es_masked_shuffled_exact_match,es_masked_shuffled_highest_fuzzy_match,es_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,tr_masked_shuffled_results,tr_masked_shuffled_exact_match,tr_masked_shuffled_highest_fuzzy_match,tr_masked_shuffled_correct,vi_masked_shuffled_results,vi_masked_shuffled_exact_match,vi_masked_shuffled_highest_fuzzy_match,vi_masked_shuffled_correct,es_masked_shuffled_results,es_masked_shuffled_exact_match,es_masked_shuffled_highest_fuzzy_match,es_masked_shuffled_correct
"['bay', 'ross', 'sr', 'duncan ross', 'duncan', 'bay duncan ross']",moses,0,0.67,incorrect,moses,0,0.67,incorrect,albert camus,0,0.37,incorrect,napoleon,0,0.43,incorrect,south africa,0,0.33,incorrect,google,0,0.2,incorrect,moses,0,0.67,incorrect,jesus,0,0.44,incorrect,ram,0,0.4,incorrect,ram,0,0.4,incorrect,albert camus,0,0.37,incorrect,jesus,0,0.44,incorrect,moses,0,0.67,incorrect,napoleon,0,0.43,incorrect,google,0,0.2,incorrect,jesus,0,0.44,incorrect,ram,0,0.4,incorrect,jesus,0,0.44,incorrect,mr. darcy,0,0.33,incorrect,hamlet,0,0.22,incorrect,ataturk,0,0.27,incorrect,ataturk,0,0.27,incorrect,trump,0,0.29,incorrect,chap hanh,0,0.4,incorrect,el capitan nemo,0,0.4,incorrect,europa,0,0.4,incorrect,hamlet,0,0.22,incorrect,ataturk,0,0.27,incorrect,chap hanh,0,0.4,incorrect,europa,0,0.4,incorrect
"['bay', 'jabez wilson', 'wilso', 'jabez wilso', 'bay jabez wilson', 'wilson', 'jabez']",nelson mandela,0,0.4,incorrect,thabo,0,0.4,incorrect,oyinbo,0,0.36,incorrect,yoruba,0,0.44,incorrect,botswana,0,0.36,incorrect,seiphephe,0,0.2,incorrect,ta'ovala,0,0.25,incorrect,taupou,0,0.24,incorrect,ramchandra,0,0.23,incorrect,ram,0,0.33,incorrect,madagascar,0,0.23,incorrect,jerusalem,0,0.43,incorrect,thabo,0,0.4,incorrect,yoruba,0,0.44,incorrect,seiphephe,0,0.2,incorrect,taupou,0,0.24,incorrect,ram,0,0.33,incorrect,jerusalem,0,0.43,incorrect,mr. darcy,0,0.33,incorrect,dracula,0,0.22,incorrect,murat,0,0.25,incorrect,tesekkur,0,0.21,incorrect,trump,0,0.0,incorrect,nguyen du,0,0.24,incorrect,el,0,0.31,incorrect,carlos,0,0.36,incorrect,dracula,0,0.22,incorrect,tesekkur,0,0.21,incorrect,nguyen du,0,0.24,incorrect,carlos,0,0.36,incorrect
"['bay', 'ross', 'duncan ross', 'duncan', 'bay duncan ross']",jesus,0,0.44,incorrect,empa,0,0.29,incorrect,jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,donald trump,0,0.43,incorrect,jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,gudd,0,0.2,incorrect,rashtriya swayamsevak sangh,0,0.29,incorrect,madagascar,0,0.4,incorrect,andriamandisoarivo,0,0.36,incorrect,empa,0,0.29,incorrect,jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,rashtriya swayamsevak sangh,0,0.29,incorrect,andriamandisoarivo,0,0.36,incorrect,scrooge,0,0.36,incorrect,james,0,0.25,incorrect,ahmet,0,0.25,incorrect,turgut ozakman,0,0.3,incorrect,ong,0,0.29,incorrect,nguyen,0,0.33,incorrect,la senora,0,0.33,incorrect,juan,0,0.6,incorrect,james,0,0.25,incorrect,turgut ozakman,0,0.3,incorrect,nguyen,0,0.33,incorrect,juan,0,0.6,incorrect
"['holmes', 'sherlock holmes', 'sherlock']",hamlet,0,0.5,incorrect,mount everest,0,0.32,incorrect,nigeria,0,0.27,incorrect,africa,0,0.29,incorrect,botswana,0,0.29,incorrect,jesus,0,0.36,incorrect,jesus,0,0.36,incorrect,jesus,0,0.36,incorrect,narendra modi,0,0.29,incorrect,narendra modi,0,0.29,incorrect,madagascar,0,0.25,incorrect,madagascar,0,0.25,incorrect,mount everest,0,0.32,incorrect,africa,0,0.29,incorrect,jesus,0,0.36,incorrect,jesus,0,0.36,incorrect,narendra modi,0,0.29,incorrect,madagascar,0,0.25,incorrect,wemmick,0,0.4,incorrect,wodehouse,0,0.4,incorrect,haber,0,0.46,incorrect,uzgun,0,0.0,incorrect,nguyen huu hanh,0,0.2,incorrect,do,0,0.25,incorrect,charlie chaplin,0,0.4,incorrect,carlos,0,0.43,incorrect,wodehouse,0,0.4,incorrect,uzgun,0,0.0,incorrect,do,0,0.25,incorrect,carlos,0,0.43,incorrect
['holmes'],setulong,0,0.14,incorrect,empa,0,0.2,incorrect,ogun,0,0.2,incorrect,oyinbo,0,0.17,incorrect,donald trump,0,0.33,incorrect,keke,0,0.2,incorrect,jesus,0,0.36,incorrect,jesus,0,0.36,incorrect,gaandhii,0,0.14,incorrect,jesus,0,0.36,incorrect,maria,0,0.18,incorrect,madagascar,0,0.25,incorrect,empa,0,0.2,incorrect,oyinbo,0,0.17,incorrect,keke,0,0.2,incorrect,jesus,0,0.36,incorrect,jesus,0,0.36,incorrect,madagascar,0,0.25,incorrect,holmes,1,1.0,correct,pray,0,0.0,incorrect,adam,0,0.2,incorrect,charlie chaplin,0,0.29,incorrect,doi,0,0.22,incorrect,the,0,0.44,incorrect,wodehouse,0,0.4,incorrect,albert camus,0,0.33,incorrect,pray,0,0.0,incorrect,charlie chaplin,0,0.29,incorrect,the,0,0.44,incorrect,albert camus,0,0.33,incorrect
"['bay', 'ross', 'duncan ross', 'duncan', 'bay duncan ross']",jesus,0,0.44,incorrect,molimo,0,0.2,incorrect,inspector lestrade,0,0.28,incorrect,league of legends,0,0.31,incorrect,moses,0,0.67,incorrect,moses,0,0.67,incorrect,maori,0,0.25,incorrect,maui,0,0.29,incorrect,harry,0,0.5,incorrect,ram,0,0.33,incorrect,andriamihaja,0,0.26,incorrect,nilaza,0,0.33,incorrect,molimo,0,0.2,incorrect,league of legends,0,0.31,incorrect,moses,0,0.67,incorrect,maui,0,0.29,incorrect,ram,0,0.33,incorrect,nilaza,0,0.33,incorrect,watson,0,0.33,incorrect,wentworth,0,0.2,incorrect,murat,0,0.36,incorrect,ali,0,0.33,incorrect,do,0,0.33,incorrect,do,0,0.33,incorrect,el presidente,0,0.25,incorrect,real madrid,0,0.31,incorrect,wentworth,0,0.2,incorrect,ali,0,0.33,incorrect,do,0,0.33,incorrect,real madrid,0,0.31,incorrect
"['morris', 'william morris', 'william morri', 'william', 'morri']",nelson mandela,0,0.29,incorrect,mohlomi,0,0.5,incorrect,yoruba,0,0.36,incorrect,jesus,0,0.18,incorrect,nelson mandela,0,0.29,incorrect,jesus,0,0.18,incorrect,taame,0,0.33,incorrect,maori,0,0.8,correct,office,0,0.36,incorrect,lawyer,0,0.32,incorrect,andry rajoelina,0,0.3,incorrect,madagascar,0,0.27,incorrect,mohlomi,0,0.5,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,maori,0,0.8,correct,lawyer,0,0.32,incorrect,madagascar,0,0.27,incorrect,smith,0,0.4,incorrect,john,0,0.22,incorrect,avukat,0,0.15,incorrect,burak,0,0.2,incorrect,ong ta,0,0.18,incorrect,duc,0,0.0,incorrect,juan,0,0.18,incorrect,john,0,0.22,incorrect,john,0,0.22,incorrect,burak,0,0.2,incorrect,duc,0,0.0,incorrect,john,0,0.22,incorrect
"['holmes', 'señor', 'bay', 'señor holmes', 'bay holmes']",victoria,0,0.31,incorrect,albert,0,0.38,incorrect,victoria,0,0.31,incorrect,victoria,0,0.31,incorrect,victoria,0,0.31,incorrect,victoria,0,0.31,incorrect,victoria,0,0.31,incorrect,victoria,0,0.31,incorrect,windsor,0,0.5,incorrect,victoria,0,0.31,incorrect,albert,0,0.38,incorrect,alain gerard lafontaine,0,0.29,incorrect,albert,0,0.38,incorrect,victoria,0,0.31,incorrect,victoria,0,0.31,incorrect,victoria,0,0.31,incorrect,victoria,0,0.31,incorrect,alain gerard lafontaine,0,0.29,incorrect,mr. sherlock holmes,0,0.65,incorrect,albert,0,0.38,incorrect,herbert,0,0.33,incorrect,albert,0,0.38,incorrect,napoleon,0,0.44,incorrect,albert,0,0.38,incorrect,dr. watson,0,0.27,incorrect,alberto,0,0.35,incorrect,albert,0,0.38,incorrect,albert,0,0.38,incorrect,albert,0,0.38,incorrect,alberto,0,0.35,incorrect
['holmes'],lesotho,0,0.46,incorrect,jesus,0,0.36,incorrect,alexander,0,0.27,incorrect,niwon,0,0.18,incorrect,albert einstein,0,0.29,incorrect,lesotho,0,0.46,incorrect,aloha,0,0.18,incorrect,aita,0,0.0,incorrect,ahaan,0,0.18,incorrect,nietzsche,0,0.27,incorrect,jesus,0,0.36,incorrect,jesus,0,0.36,incorrect,jesus,0,0.36,incorrect,niwon,0,0.18,incorrect,lesotho,0,0.46,incorrect,aita,0,0.0,incorrect,nietzsche,0,0.27,incorrect,jesus,0,0.36,incorrect,wimsey,0,0.33,incorrect,shakespeare,0,0.35,incorrect,charlie,0,0.46,incorrect,ahmet,0,0.55,incorrect,ong,0,0.22,incorrect,nguyen du,0,0.13,incorrect,alfred,0,0.33,incorrect,ortega,0,0.33,incorrect,shakespeare,0,0.35,incorrect,ahmet,0,0.55,incorrect,nguyen du,0,0.13,incorrect,ortega,0,0.33,incorrect
"['señor', 'bay', 'señor wilson', 'wilson', 'bay wilson']",madiba,0,0.44,incorrect,moses,0,0.4,incorrect,jesus,0,0.24,incorrect,ojutomi,0,0.21,incorrect,madiba,0,0.44,incorrect,jesus,0,0.24,incorrect,jesus,0,0.24,incorrect,jesus,0,0.24,incorrect,ram,0,0.33,incorrect,ram,0,0.33,incorrect,jesus,0,0.24,incorrect,jesus,0,0.24,incorrect,moses,0,0.4,incorrect,ojutomi,0,0.21,incorrect,jesus,0,0.24,incorrect,jesus,0,0.24,incorrect,ram,0,0.33,incorrect,jesus,0,0.24,incorrect,wemmick,0,0.31,incorrect,google,0,0.22,incorrect,ciraginiz,0,0.32,incorrect,hurriyet,0,0.2,incorrect,philostrate,0,0.35,incorrect,napoleon,0,0.5,incorrect,google,0,0.22,incorrect,marlon brando,0,0.35,incorrect,google,0,0.22,incorrect,hurriyet,0,0.2,incorrect,napoleon,0,0.5,incorrect,marlon brando,0,0.35,incorrect
['holmes'],thabo,0,0.36,incorrect,thabo,0,0.36,incorrect,jesus,0,0.36,incorrect,olorun,0,0.33,incorrect,nelson mandela,0,0.3,incorrect,jesus,0,0.36,incorrect,jesus,0,0.36,incorrect,tahiti,0,0.17,incorrect,ram,0,0.22,incorrect,ram,0,0.22,incorrect,maria,0,0.18,incorrect,andry rajoelina,0,0.19,incorrect,thabo,0,0.36,incorrect,olorun,0,0.33,incorrect,jesus,0,0.36,incorrect,tahiti,0,0.17,incorrect,ram,0,0.22,incorrect,andry rajoelina,0,0.19,incorrect,sherlock holmes,0,0.57,incorrect,harry,0,0.18,incorrect,harry,0,0.18,incorrect,ali,0,0.22,incorrect,ong,0,0.22,incorrect,nguyen du,0,0.13,incorrect,el gato con botas,0,0.17,incorrect,el,0,0.25,incorrect,harry,0,0.18,incorrect,ali,0,0.22,incorrect,nguyen du,0,0.13,incorrect,el,0,0.25,incorrect
"['wilson', 'sr', 'bay wilson', 'bay']",moqebelo,0,0.33,incorrect,mohlala,0,0.24,incorrect,jesus,0,0.29,incorrect,jesus,0,0.29,incorrect,monday,0,0.44,incorrect,keke,0,0.0,incorrect,tu,0,0.0,incorrect,jesus,0,0.29,incorrect,narendra modi,0,0.26,incorrect,ram,0,0.4,incorrect,madagascar,0,0.33,incorrect,jesus,0,0.29,incorrect,mohlala,0,0.24,incorrect,jesus,0,0.29,incorrect,keke,0,0.0,incorrect,jesus,0,0.29,incorrect,ram,0,0.4,incorrect,jesus,0,0.29,incorrect,sherlock holmes,0,0.24,incorrect,william shakespeare,0,0.32,incorrect,bilmece,0,0.35,incorrect,sabah,0,0.5,incorrect,nguyen van thieu,0,0.23,incorrect,chu nhat,0,0.22,incorrect,john,0,0.4,incorrect,lunes,0,0.36,incorrect,william shakespeare,0,0.32,incorrect,sabah,0,0.5,incorrect,chu nhat,0,0.22,incorrect,lunes,0,0.36,incorrect
['holmes'],lesotho,0,0.46,incorrect,moses,0,0.55,incorrect,afefemi,0,0.15,incorrect,yoruba,0,0.17,incorrect,nelson mandela,0,0.3,incorrect,moses,0,0.55,incorrect,tahiti,0,0.17,incorrect,tahiti,0,0.17,incorrect,detective,0,0.13,incorrect,norm,0,0.4,incorrect,andry rajoelina,0,0.19,incorrect,andriamanelo,0,0.22,incorrect,moses,0,0.55,incorrect,yoruba,0,0.17,incorrect,moses,0,0.55,incorrect,tahiti,0,0.17,incorrect,norm,0,0.4,incorrect,andriamanelo,0,0.22,incorrect,holmes,1,1.0,correct,sherlock holmes,0,0.57,incorrect,nietzsche,0,0.27,incorrect,arabesque,0,0.27,incorrect,dinh ngoc anh,0,0.21,incorrect,nguyen du,0,0.13,incorrect,holmes,1,1.0,correct,sherlock holmes,0,0.57,incorrect,sherlock holmes,0,0.57,incorrect,arabesque,0,0.27,incorrect,nguyen du,0,0.13,incorrect,sherlock holmes,0,0.57,incorrect
"['wilson', 'bay wilson', 'bay']",mohlomi,0,0.31,incorrect,motlatsi,0,0.29,incorrect,sherlock holmes,0,0.24,incorrect,manchester,0,0.2,incorrect,nelson mandela,0,0.4,incorrect,nelson mandela,0,0.4,incorrect,jesus,0,0.18,incorrect,tupou,0,0.18,incorrect,harry,0,0.5,incorrect,harry,0,0.5,incorrect,maria,0,0.27,incorrect,madagascar,0,0.2,incorrect,motlatsi,0,0.29,incorrect,manchester,0,0.2,incorrect,nelson mandela,0,0.4,incorrect,tupou,0,0.18,incorrect,harry,0,0.5,incorrect,madagascar,0,0.2,incorrect,sherlock,0,0.29,incorrect,red,0,0.0,incorrect,harry potter,0,0.36,incorrect,bayern,0,0.67,incorrect,do,0,0.25,incorrect,do,0,0.25,incorrect,superman,0,0.29,incorrect,reyes,0,0.27,incorrect,red,0,0.0,incorrect,bayern,0,0.67,incorrect,do,0,0.25,incorrect,reyes,0,0.27,incorrect
['jones'],moshoeshoe,0,0.4,incorrect,moses,0,0.6,incorrect,hamlet,0,0.18,incorrect,jesus,0,0.6,incorrect,nelson mandela,0,0.32,incorrect,moses,0,0.6,incorrect,jesus,0,0.6,incorrect,jesus,0,0.6,incorrect,woody,0,0.2,incorrect,dr. dolittle,0,0.24,incorrect,andry rajoelina,0,0.3,incorrect,andriamanelo,0,0.24,incorrect,moses,0,0.6,incorrect,jesus,0,0.6,incorrect,moses,0,0.6,incorrect,jesus,0,0.6,incorrect,dr. dolittle,0,0.24,incorrect,andriamanelo,0,0.24,incorrect,sherlock holmes,0,0.3,incorrect,doctor,0,0.18,incorrect,doctor,0,0.18,incorrect,dr. tek,0,0.17,incorrect,dang,0,0.22,incorrect,duc,0,0.0,incorrect,indiana jones,0,0.56,incorrect,sherlock holmes,0,0.3,incorrect,doctor,0,0.18,incorrect,dr. tek,0,0.17,incorrect,duc,0,0.0,incorrect,sherlock holmes,0,0.3,incorrect
"['jones', 'bay jones', 'bay']",jesus,0,0.6,incorrect,jesus,0,0.6,incorrect,abraham,0,0.4,incorrect,abameta,0,0.4,incorrect,ke lemo,0,0.25,incorrect,ke,0,0.29,incorrect,taata,0,0.25,incorrect,jesus,0,0.6,incorrect,ranger,0,0.4,incorrect,ranger,0,0.4,incorrect,asabotsy,0,0.36,incorrect,jesus,0,0.6,incorrect,jesus,0,0.6,incorrect,abameta,0,0.4,incorrect,ke,0,0.29,incorrect,jesus,0,0.6,incorrect,ranger,0,0.4,incorrect,jesus,0,0.6,incorrect,sherlock holmes,0,0.33,incorrect,walter scott,0,0.29,incorrect,brici,0,0.25,incorrect,yirmi,0,0.25,incorrect,dan ong,0,0.5,incorrect,nguyen du,0,0.29,incorrect,juego,0,0.4,incorrect,albert camus,0,0.29,incorrect,walter scott,0,0.29,incorrect,yirmi,0,0.25,incorrect,nguyen du,0,0.29,incorrect,albert camus,0,0.29,incorrect
"['holmes', 'sherlock holmes', 'sherlock']",labyrinth,0,0.17,incorrect,minerva,0,0.31,incorrect,charlie,0,0.46,incorrect,walter,0,0.33,incorrect,nelson mandela,0,0.41,incorrect,south africa,0,0.4,incorrect,samoa,0,0.31,incorrect,samoa,0,0.31,incorrect,usa,0,0.22,incorrect,manchester,0,0.38,incorrect,london,0,0.29,incorrect,london,0,0.29,incorrect,minerva,0,0.31,incorrect,walter,0,0.33,incorrect,south africa,0,0.4,incorrect,samoa,0,0.31,incorrect,manchester,0,0.38,incorrect,london,0,0.29,incorrect,james joyce,0,0.35,incorrect,regent,0,0.19,incorrect,farrington,0,0.22,incorrect,smith,0,0.31,incorrect,ong,0,0.22,incorrect,duong,0,0.18,incorrect,farrington,0,0.22,incorrect,madrid,0,0.17,incorrect,regent,0,0.19,incorrect,smith,0,0.31,incorrect,duong,0,0.18,incorrect,madrid,0,0.17,incorrect
"['bay', 'merryweather', 'bay merryweather']",eseng,0,0.24,incorrect,jesus,0,0.12,incorrect,ogun,0,0.0,incorrect,nigeria,0,0.32,incorrect,mokgatlo,0,0.3,incorrect,nelson mandela,0,0.27,incorrect,tupou,0,0.12,incorrect,tupai,0,0.25,incorrect,lkssmnn,0,0.11,incorrect,nepal,0,0.25,incorrect,jesus,0,0.12,incorrect,andry rasoanaivo,0,0.31,incorrect,jesus,0,0.12,incorrect,nigeria,0,0.32,incorrect,nelson mandela,0,0.27,incorrect,tupai,0,0.25,incorrect,nepal,0,0.25,incorrect,andry rasoanaivo,0,0.31,incorrect,dracula,0,0.21,incorrect,winnie-the-pooh,0,0.37,incorrect,robin hood,0,0.23,incorrect,musa,0,0.29,incorrect,duc,0,0.0,incorrect,nguyen du,0,0.19,incorrect,don quijote,0,0.22,incorrect,tom,0,0.13,incorrect,winnie-the-pooh,0,0.37,incorrect,musa,0,0.29,incorrect,nguyen du,0,0.19,incorrect,tom,0,0.13,incorrect
['holmes'],nelson mandela,0,0.3,incorrect,setsohorisitso,0,0.3,incorrect,nelson mandela,0,0.3,incorrect,nigeria,0,0.15,incorrect,nelson mandela,0,0.3,incorrect,nelson mandela,0,0.3,incorrect,jesus,0,0.36,incorrect,tuvalu,0,0.17,incorrect,napoleon,0,0.43,incorrect,ram,0,0.22,incorrect,winston churchill,0,0.17,incorrect,andriamandisoarivo,0,0.17,incorrect,setsohorisitso,0,0.3,incorrect,nigeria,0,0.15,incorrect,nelson mandela,0,0.3,incorrect,tuvalu,0,0.17,incorrect,ram,0,0.22,incorrect,andriamandisoarivo,0,0.17,incorrect,scrooge,0,0.31,incorrect,napoleon,0,0.43,incorrect,profesor,0,0.43,incorrect,mehmet,0,0.5,incorrect,nguyen huu tho,0,0.2,incorrect,nguyen du,0,0.13,incorrect,indiana jones,0,0.32,incorrect,don quijote,0,0.24,incorrect,napoleon,0,0.43,incorrect,mehmet,0,0.5,incorrect,nguyen du,0,0.13,incorrect,don quijote,0,0.24,incorrect
"['bay', 'merryweather', 'bay merryweather']",winnie-the-pooh,0,0.37,incorrect,wales,0,0.35,incorrect,dr. livingstone,0,0.22,incorrect,london,0,0.0,incorrect,winnie mandela,0,0.31,incorrect,shakespeare,0,0.37,incorrect,london,0,0.0,incorrect,samoa,0,0.29,incorrect,mohera,0,0.44,incorrect,delal,0,0.25,incorrect,london,0,0.0,incorrect,jesus,0,0.12,incorrect,wales,0,0.35,incorrect,london,0,0.0,incorrect,shakespeare,0,0.37,incorrect,samoa,0,0.29,incorrect,delal,0,0.25,incorrect,jesus,0,0.12,incorrect,wiggins,0,0.11,incorrect,goldsmith,0,0.29,incorrect,smith,0,0.35,incorrect,rehber,0,0.56,incorrect,barclays,0,0.55,incorrect,hitler,0,0.33,incorrect,goldman,0,0.21,incorrect,thames,0,0.33,incorrect,goldsmith,0,0.29,incorrect,rehber,0,0.56,incorrect,hitler,0,0.33,incorrect,thames,0,0.33,incorrect
['watson'],god,0,0.22,incorrect,jesus,0,0.18,incorrect,yoruba,0,0.17,incorrect,oyinbo,0,0.33,incorrect,moses,0,0.18,incorrect,mmusi maimane,0,0.21,incorrect,jesus,0,0.18,incorrect,maui,0,0.2,incorrect,rifle,0,0.0,incorrect,narendra modi,0,0.21,incorrect,madagascar,0,0.25,incorrect,andriamanelo,0,0.22,incorrect,jesus,0,0.18,incorrect,oyinbo,0,0.33,incorrect,mmusi maimane,0,0.21,incorrect,maui,0,0.2,incorrect,narendra modi,0,0.21,incorrect,andriamanelo,0,0.22,incorrect,you,0,0.22,incorrect,monte,0,0.36,incorrect,ali,0,0.22,incorrect,ataturk,0,0.31,incorrect,napoleon,0,0.43,incorrect,napoleon,0,0.43,incorrect,yo,0,0.25,incorrect,shakespeare,0,0.24,incorrect,monte,0,0.36,incorrect,ataturk,0,0.31,incorrect,napoleon,0,0.43,incorrect,shakespeare,0,0.24,incorrect
['holmes'],nelson mandela,0,0.3,incorrect,monko,0,0.18,incorrect,yoruba,0,0.17,incorrect,olorun,0,0.33,incorrect,jesus,0,0.36,incorrect,moses,0,0.55,incorrect,jesus,0,0.36,incorrect,maori,0,0.18,incorrect,john,0,0.2,incorrect,napoleon,0,0.43,incorrect,madagascar,0,0.25,incorrect,jesus,0,0.36,incorrect,monko,0,0.18,incorrect,olorun,0,0.33,incorrect,moses,0,0.55,incorrect,maori,0,0.18,incorrect,napoleon,0,0.43,incorrect,jesus,0,0.36,incorrect,professor challenger,0,0.23,incorrect,edgar allan poe,0,0.19,incorrect,yusuf,0,0.18,incorrect,yanik,0,0.0,incorrect,nguyen nhat anh,0,0.1,incorrect,duc,0,0.0,incorrect,farol,0,0.36,incorrect,colombia,0,0.43,incorrect,edgar allan poe,0,0.19,incorrect,yanik,0,0.0,incorrect,duc,0,0.0,incorrect,colombia,0,0.43,incorrect
['jones'],madiba,0,0.0,incorrect,derby,0,0.2,incorrect,wa,0,0.0,incorrect,nigeria,0,0.33,incorrect,winnie-the-pooh,0,0.2,incorrect,derbies,0,0.33,incorrect,ta'uma,0,0.0,incorrect,tahiti,0,0.0,incorrect,derby,0,0.2,incorrect,manchester,0,0.4,incorrect,ho,0,0.29,incorrect,madagascar,0,0.13,incorrect,derby,0,0.2,incorrect,nigeria,0,0.33,incorrect,derbies,0,0.33,incorrect,tahiti,0,0.0,incorrect,manchester,0,0.4,incorrect,madagascar,0,0.13,incorrect,aladdin,0,0.17,incorrect,winnie-the-pooh,0,0.2,incorrect,jim,0,0.25,incorrect,ali,0,0.0,incorrect,duc,0,0.0,incorrect,duc,0,0.0,incorrect,aladdin,0,0.17,incorrect,tom,0,0.25,incorrect,winnie-the-pooh,0,0.2,incorrect,ali,0,0.0,incorrect,duc,0,0.0,incorrect,tom,0,0.25,incorrect
"['clay', 'john', 'john clay']",nelson mandela,0,0.43,incorrect,lesotho,0,0.36,incorrect,ogun,0,0.5,incorrect,yoruba,0,0.27,incorrect,mma,0,0.29,incorrect,botswana,0,0.35,incorrect,maori,0,0.22,incorrect,maori,0,0.22,incorrect,ram,0,0.29,incorrect,ram,0,0.29,incorrect,andry,0,0.44,incorrect,madagascar,0,0.29,incorrect,lesotho,0,0.36,incorrect,yoruba,0,0.27,incorrect,botswana,0,0.35,incorrect,maori,0,0.22,incorrect,ram,0,0.29,incorrect,madagascar,0,0.29,incorrect,professor albus dumbledore,0,0.17,incorrect,john,1,1.0,correct,bayan white,0,0.27,incorrect,muhtar,0,0.27,incorrect,viet tung,0,0.15,incorrect,duc,0,0.29,incorrect,el capitan america,0,0.3,incorrect,el,0,0.33,incorrect,john,1,1.0,correct,muhtar,0,0.27,incorrect,duc,0,0.29,incorrect,el,0,0.33,incorrect
"['bay', 'jabez wilson', 'bay jabez wilson', 'wilson', 'jabez']",war,0,0.33,incorrect,empa,0,0.29,incorrect,gold,0,0.2,incorrect,nigeria,0,0.21,incorrect,botswana,0,0.36,incorrect,moses,0,0.24,incorrect,jesus,0,0.4,incorrect,jesus,0,0.4,incorrect,ravana,0,0.27,incorrect,ram,0,0.33,incorrect,alina,0,0.36,incorrect,andriamandisoarivo,0,0.29,incorrect,empa,0,0.29,incorrect,nigeria,0,0.21,incorrect,moses,0,0.24,incorrect,jesus,0,0.4,incorrect,ram,0,0.33,incorrect,andriamandisoarivo,0,0.29,incorrect,agatha christie,0,0.32,incorrect,league,0,0.36,incorrect,sabahattin ali,0,0.33,incorrect,galatasaray,0,0.29,incorrect,napoleon,0,0.43,incorrect,napoleon,0,0.43,incorrect,harry,0,0.5,incorrect,el,0,0.29,incorrect,league,0,0.36,incorrect,galatasaray,0,0.29,incorrect,napoleon,0,0.43,incorrect,el,0,0.29,incorrect
