Single_ent,en,en_results,en_shuffled,en_shuffled_results
['anna'],"I have a lot of faults. I drink milk from the carton, I never make my bed, I am slothful, and sometimes I’ll just set the new roll of toilet paper on top of the empty roll instead of changing it. A monster. I am also gluttonous: I don’t want a few peanut M&M’s; I want the entire bag. Why have one margarita when three is such a nice, satisfying number? Everyone knows why! And that’s why I go back for seconds right now. But karma is Team West: his eyes open just as I glance again. They widen and he reaches down to cup his Goddamn before he turns, facing away. “[MASK],” he says, his voice spluttering in the water’s spray. “Are you peeking?”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","of such facing number? the knows why to milk “Are roll new his from a back go paper never why! a just M&M’s; down top want his peeking?” a the says, one I am he A before of as water’s But I I entire open sometimes monster. turns, widen is I spluttering again. peanut have three that’s roll it. he bed, of now. I satisfying also I spray. nice, bag. I voice my don’t reaches I’ll when Why changing toilet set cup instead in slothful, few Everyone They the for I Goddamn margarita the he seconds West: make “[MASK],” and karma carton, have and empty And his is gluttonous: away. right I lot drink glance want am you of faults. just on the eyes Team","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['anna'],"He was right. Focus was always a challenge, and apparently it didn’t end with baseball. I came here with the knowledge that all I need to do is limp this lie to September, and I can finally exhale, but we’re less than an hour into this farce and I’m already off track: I peeked, and it was a huge mistake. It’s not that I didn’t know [MASK] was attractive all those years ago; it’s that we barely saw each other, and I was so driven to finish my degree and never have to work for my father again that [MASK]—attractive or not—was easy to overlook.","""title"": ""Maybe in Another Life"", ""author"": ""Taylor Jenkins Reid""","was can we was was all my here all farce off and and a never that I challenge, didn’t It’s finish need or less came saw for we’re I’m track: work that finally it’s barely right. to the with [MASK]—attractive always September, driven I was so huge and Focus do to I hour apparently to overlook. didn’t mistake. a I and exhale, ago; an [MASK] baseball. knowledge end that I He but already degree it that attractive and know than father limp have into lie those other, years to and each again was to this with it this not not—was peeked, easy I my is","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
['anna'],"I smile at her and cup a hand to the side of my mouth, whispering, “It’s okay.” Truthfully, I love that she thinks about this. I love that she’s horrified by that price. I’m horrified, too. It’s a good thing [MASK] isn’t my real wife; I would constantly worry that my proximity to this world would destroy her.","""title"": ""The All Souls Trilogy"", ""author"": ""Deborah Harkness""","my cup and smile that a whispering, worry side would good It’s Truthfully, hand isn’t this. I’m world thing at [MASK] the she’s mouth, thinks okay.” horrified, that of that price. too. about destroy my proximity I by I I my wife; love horrified would this her to real that her. love “It’s she a I to constantly","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['anna'],"Her hand falls away. “That’s [MASK] motherfucking Green-hyphen-Weston to you.” She lets out a happy squeal, jogging over to hug him as well as she can without spilling the shots on either of them. “You look amazing!”","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""","happy them. Green-hyphen-Weston over as you.” hand amazing!” “That’s out she without look She falls shots spilling him Her away. jogging [MASK] can either to of the to well lets motherfucking on squeal, hug “You a as","""title"": ""Unknown"", ""author"": ""Unknown"""
['jake'],"The two of them walk back to me, and [MASK] looks over his shoulder to make sure we’re alone. “How are my favorite liars doing?”","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","to sure and favorite to over alone. my shoulder The back of looks me, we’re are [MASK] two make “How doing?” them liars walk his","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['jake'],"“Describe her,” [MASK] says, leaning in, his hair falling over his forehead in thick waves. There are moments where I see the man he could someday be: playful but grounded, flirtatious but loyal, clever but humble. I want to know that version of him and worry he will forever be frozen in this caricature of the irresponsible youngest son as long as he works for Weston’s.","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""","the that son works worry the I over her,” loyal, falling “Describe in, him frozen humble. his version I caricature hair long be: playful are will leaning flirtatious for in [MASK] his There he as want but be someday but to as know this he in grounded, where thick clever he man could and irresponsible of youngest of says, Weston’s. waves. forehead see forever moments but","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover"""
['anna'],"[MASK] barks out a bawdy laugh before covering her mouth with her hand. “Sorry,” she says from behind it. The diamond on her ring flashes in the flickering light. “That surprised me.”","""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas""","the it. out with surprised on she hand. barks “Sorry,” a from before her me.” her covering flashes says behind “That mouth The her ring diamond in light. bawdy [MASK] flickering laugh","""title"": ""Twilight"", ""author"": ""Stephenie Meyer"""
['anna'],"“Good. [MASK] has no poker face. How’s she taking everything?” he asks, and I know what he’s referring to: the planes, the island, the money. The family.","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn""","the the face. [MASK] has poker the The no family. he “Good. money. asks, How’s and planes, she what everything?” taking I referring to: he’s know island,","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
['jake'],"With a laugh, [MASK] rids himself of our shot glasses and snags two tumblers of whiskey off a passing tray. He hands me one before lifting his own. “Well, whatever. To the final few months: if you pull this off, you’re free.”","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""","before himself tray. snags me of laugh, few glasses one rids off, you With you’re if pull of whiskey our He hands passing tumblers his lifting [MASK] off shot two months: the “Well, and a whatever. own. To a free.” this final","""title"": ""On the Road"", ""author"": ""Jack Kerouac"""
['jake'],"He looks past me at the party, and I take stock of how he seems from the outside. He’s got Dad’s dark wavy hair and light brown eyes, but like me, he got his height from our mother, who is almost six feet tall without the benefit of heels. [MASK] is good-looking, charismatic, and always up for some (mostly) good-hearted shit-stirring. My stomach sours with guilt for what I’m keeping from him. What I could potentially fuck up.","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""","for He’s without is [MASK] shit-stirring. of feet him. I good-looking, like height heels. some six of his stomach light outside. how I’m benefit the tall got up. but is brown from from hair the past the He always My Dad’s guilt sours at up for what fuck from take dark and charismatic, party, What mother, with I almost who he eyes, got me good-hearted wavy me, keeping and could and potentially (mostly) our he looks seems stock","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['anna'],"She laughs, angling her wrist so the diamond catches the lights overhead. “I know, right? For six months I just walked around taking photos where I had to casually point at something with my left hand.” She scans the crowd. “Where’s [MASK]?”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","lights walked taking scans “I where just her catches around left point right? angling six at She overhead. casually For laughs, the to [MASK]?” the diamond I She hand.” my something crowd. photos wrist months with I know, the had so “Where’s","""title"": ""The Diamond as Big as the Ritz"", ""author"": ""Judy Blume"""
['anna'],"I look up, too, searching the room again. She’s over by the dance floor, jumping around with little Nixon’s hands in hers. The band is playing covers of pop hits, and [MASK] is entirely in her element: laughing, dancing, blissfully forgetting where she is.","""title"": ""The Girls"", ""author"": ""Emma Cline""","The and searching I again. Nixon’s playing room look the is dancing, She’s hands her hits, up, pop too, she floor, in [MASK] band by element: dance covers little where hers. jumping over entirely around of laughing, is is. forgetting the in blissfully with","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
['janet'],"[MASK] smiles tightly. “Exactly.” Welp, there it is. She turns her laser focus to me. “How do your professors react to your hair?”","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","there turns me. She tightly. laser professors your smiles her is. to Welp, focus to “How “Exactly.” react hair?” do your [MASK] it","""title"": ""Unknown"", ""author"": ""Unknown"""
['alex'],"“It’s unlikely,” I say, and every head turns my way. “Everyone needs seven to nine hours of sleep a night. You can try to convince yourself you don’t need more, but over time you’ll build up a sleep debt. It probably affects your mental and physical health more than you realize, [MASK].”","""title"": ""The 7 1/2 Deaths of Evelyn Hardcastle"", ""author"": ""Stuart Turton""","every try mental build yourself can to your health head say, need physical more to seven nine debt. It over more, hours convince unlikely,” time you but you up sleep don’t you’ll a and of needs night. turns a “It’s sleep “Everyone I than [MASK].” probably way. and realize, affects my You","""title"": ""The 7 Habits of Highly Effective People"", ""author"": ""Stephen Covey"""
['alex'],"“And what’s the deal with [MASK]? Based on the way you talked about him on the plane, I expected you two to jovially poke at each other, but that was like dragging a proverbial sword through each other with your eyeballs.”","""title"": ""Ready Player One"", ""author"": ""Ernest Cline""","a you with but the on “And sword each jovially expected about that what’s dragging other other, the proverbial was through like two [MASK]? on talked eyeballs.” the him poke with way Based to you plane, at I deal your each","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['alex'],"“Well, mostly because he’s an asshole. But also, kids growing up in a normal family get to be themselves, whoever that may be. But in families like ours, one where everything basically revolves around keeping a single person happy—my dad—everybody has a role. My therapist used to refer to [MASK] as a flying monkey.”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""","be. revolves But also, person mostly family But a themselves, be up growing to monkey.” around normal everything [MASK] as get in has dad—everybody asshole. used in one happy—my refer to flying a single a therapist that basically like kids a to he’s where families My role. may whoever ours, an “Well, keeping because","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
['alex'],"“Like in The Wizard of Oz? [MASK] was my dad’s willing henchman, doing everything he said, kissing his ass, stirring up shit just to turn us all in, then sit back and look like the good guy. He’s never grown out of it.”","""title"": ""The Hate U Give"", ""author"": ""Angie Thomas""","never it.” everything shit like He’s good turn in my [MASK] just guy. of in, back then us dad’s he said, kissing willing Oz? all out stirring The and was grown the look up sit “Like his doing of Wizard to ass, henchman,","""title"": ""The Wizard of Oz"", ""author"": ""L. Frank Baum"""
['alex'],"“What does that mean?” I ask. If [MASK] knew enough, he wouldn’t try to take West down? Is this about the mysterious loophole in the trust?","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""","does mysterious in If the this mean?” I Is trust? loophole the try West ask. knew he that take about to down? wouldn’t [MASK] “What enough,","""title"": ""1984"", ""author"": ""George Orwell"""
['alex'],"West sits on the bench and pulls a shoe off. I set my clutch down on a shelf in the open closet. “I’m thinking [MASK] will take a keen interest in exactly how happy we seem.” I narrow my eyes, staring into the distance. “West… this assignment is no longer just ‘show up and wear a wedding ring.’ ”","""title"": ""The Bride Test"", ""author"": ""Sawyer Belle""","closet. I bench this keen happy into ” a eyes, shelf on sits the exactly on off. pulls staring the a my just wear distance. the narrow I open ‘show longer seem.” no wedding ring.’ interest will a clutch and how down West is thinking up in “I’m take a we shoe [MASK] in and assignment my “West… set","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
['anna'],"I woke up around two this morning to find [MASK] wrapped around me. Despite what she’d told me about sleeping in one place all night, at some point she’d migrated across the massive bed to throw a leg over my hip, send an arm over my torso, and press her face to my neck. It took monumental focus to not go hard against her inner thigh, and because of it, I’d slept like absolute shit.","""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas""","in send monumental face leg [MASK] It she’d go around morning and of I absolute her shit. migrated arm find night, over to slept I’d took not to across what point at an two this Despite one around because throw she’d against sleeping torso, thigh, up some the over bed wrapped told press focus hip, massive my woke to inner hard about her my all and place like neck. me. me a my it, to","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['anna'],"My father’s question penetrates my fog, finally, and I straighten, pushing my salt-water-and-sweat damp hair off my forehead. The sun has only just come up and it’s already sweltering. I bet [MASK] has already kicked off the blankets, letting the air cool her overheated skin.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","off hair just finally, damp already come question already air sweltering. The overheated forehead. my [MASK] my has has I father’s cool bet fog, only pushing letting sun and up my My it’s off the straighten, I her blankets, skin. penetrates salt-water-and-sweat the and kicked","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
['anna'],"“JESUS CHRIST,” I BLURT, the second I turn at the corner of our bridge and step onto the deck of our bungalow. [MASK] is curled up in a papasan, with a sketch pad in her seemingly bare lap. Honestly, from the first glimpse I get, I think she might be naked. “What are you doing?”","""title"": ""The Beach House"", ""author"": ""James Patterson""","CHRIST,” I you Honestly, papasan, bungalow. a naked. “What a at think our are onto bridge second of might first pad in and is her she the up be deck “JESUS the step I corner from the the BLURT, [MASK] in with seemingly bare lap. I our doing?” of glimpse I get, sketch turn curled","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['anna'],"[MASK] follows me. She’s loosely made the bed, but it still looks rumpled. Slept in. By both of us. I squeeze my eyes shut against the reminder.","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins""","but it squeeze us. loosely reminder. of By in. both the [MASK] made eyes against shut I still looks follows me. Slept rumpled. She’s my the bed,","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['anna'],I sigh. I know she’s right but I’m already sleep-deprived and functioning on less than full brain power today. I’m not sure I’m capable of dealing with both my family and [MASK] in this suit after last night. “Fine.”,"""title"": ""The Mortal Instruments: City of Bones"", ""author"": ""Cassandra Clare""",but and know in this last already power I functioning brain full night. of not today. dealing capable sigh. suit and than both I’m my [MASK] I’m on I’m right I with “Fine.” sure family sleep-deprived less after she’s,"""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover"""
['anna'],“Oh!” [MASK] jerks a hand over her eyes. “Your Goddamn! Right there!” She turns away. “Sorry! I just—spaced out—on your—God. And you’re not even harrrrrrr—Fuck me.” She coughs. “Okay. I’ll just meet you down at the restaurant.”,"""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney""",restaurant.” jerks at meet a She your—God. down me.” over Right eyes. And away. there!” “Your just—spaced “Sorry! hand turns [MASK] the out—on you’re coughs. She “Oh!” even I’ll not her harrrrrrr—Fuck you “Okay. Goddamn! just I,"""title"": ""Ulysses"", ""author"": ""James Joyce"""
['alex'],"I can feel Anna’s eyes on the side of my face. This is how it always starts with [MASK], and whatever suspicion he has about my marriage will only make it worse. I know it’s irrational and a remnant of how we used to one-up each other for our dad’s approval when we were kids, but I want to beat him. At everything.","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""","of other marriage I At suspicion whatever irrational feel kids, our dad’s the I has everything. we know a make beat I to but for how side worse. eyes about one-up and and my him. it were face. each we used approval want of [MASK], when to he starts remnant always how it can is will with This only on it’s my Anna’s","""title"": ""Anna Karenina"", ""author"": ""Leo Tolstoy"""
['anna'],"[MASK] slams the brakes on this line of thinking by putting an arm around my back, resting the other hand on my stomach and gently scratching, just like she unconsciously did last night. I work to suppress a shiver. Turning, she looks at him over her shoulder.","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""","thinking by she suppress her the arm resting this putting Turning, looks brakes my on last back, unconsciously over scratching, on she slams him night. gently and [MASK] an at just around work did of line the other a my like stomach hand I shoulder. to shiver.","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['eko'],"[MASK] goes through the basics of paddling, giving us tips about what areas of the reef to avoid as we approach. “Is everyone comfortable with the basics of kayaking?” she asks.","""title"": ""The Beach of Falesá"", ""author"": ""Rosie Malek-Yonan""","tips basics us “Is avoid reef as we [MASK] the asks. approach. kayaking?” everyone of paddling, about areas what the with the basics she of of comfortable to giving goes through","""title"": ""The Complete Book of Kayaking"", ""author"": ""Alex Hutchinson"""
['alex'],"I reach back, pulling my T-shirt up and off, tossing it to the side. [MASK] hesitates and then does the same, his expression turning homicidal when I smirk down at his soft little paunch.","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""","T-shirt then reach pulling the up same, soft side. little tossing to I off, [MASK] turning when and his the does homicidal I expression and it his paunch. back, at down my smirk hesitates","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
['alex'],"[MASK] snorts, looking at her derisively, like she’s an idiot. In a hot flush, my hackles are up, and every rational thought goes out the window.","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""","thought she’s my derisively, goes snorts, up, In hot are looking [MASK] rational every at like out the an a window. her and flush, idiot. hackles","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['anna'],"“Course you are, sweetheart,” I say, steadying my voice and looking down at [MASK]. “I went running without you this morning and you really let me have it.”","""title"": ""The Time Traveler's Wife"", ""author"": ""Audrey Niffenegger""","running “I went morning really steadying you say, looking sweetheart,” and at let this are, and down it.” you “Course you my voice me I [MASK]. have without","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['alex'],"“We work out together every morning.” I’m speaking to [MASK] but holding Anna’s gaze. Maybe it’s the pent-up frustration from last night, or maybe my brother just brings out the worst in me and the best way to drag him is through his wife’s dissatisfaction, but I keep going. “Gets the blood flowing, doesn’t it?”","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""","blood his I “Gets brings but frustration doesn’t it?” gaze. the together him or holding morning.” [MASK] speaking out work through best going. from flowing, Anna’s dissatisfaction, night, the me to to “We it’s worst the just my Maybe maybe keep wife’s last every but way in is and the out pent-up brother drag I’m","""title"": ""Anna Karenina"", ""author"": ""Leo Tolstoy"""
['alex'],"And that much is immediately apparent. She trips as she tries to climb in. I hold the boat steady for her, but she still ends up getting in backward and then having to awkwardly turn around in the tiny space. I pretend to scratch my shoulder with my chin, glancing behind us. Fuck. [MASK] noticed.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","in much immediately us. behind Fuck. space. ends my trips my I in. awkwardly to She steady [MASK] noticed. shoulder up for that tiny still but climb And as the pretend having boat chin, around she her, scratch glancing turn then in to and I apparent. she backward with to tries hold getting the is","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['anna'],"Just then, [MASK] looks over and lets out a high-pitched shriek. “West! A sea turtle!” She leans to the side, and her oar slides off her lap and into the clear water.","""title"": ""Island of the Blue Dolphins"", ""author"": ""Scott O'Dell""","then, over shriek. her and leans her high-pitched “West! She off Just clear A a and out slides [MASK] oar side, and the sea to lets looks lap into water. turtle!” the","""title"": ""The Old Man and the Sea"", ""author"": ""Ernest Hemingway"""
['anna'],"“He and I have never been close,” I say quickly, suddenly and deeply uninterested in spending the morning anywhere but right here with [MASK]. “I think from the moment he was born, the only thing he cared about was impressing our father.”","""title"": ""Harry Potter and the Half-Blood Prince"", ""author"": ""J.K. Rowling""","have moment thing father.” the [MASK]. close,” was the only from was about in “He suddenly I “I quickly, right but he spending uninterested the he deeply think never I and say and cared born, been anywhere morning impressing our here with","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
['alex'],“You drive [MASK] crazy because he can’t ever beat you even though he’s the older brother. He’s probably jealous because you’re tall and hot and smart and he’s short and—”,"""title"": ""To All the Boys I've Loved Before"", ""author"": ""Jenny Han""",he’s brother. the though smart older he’s “You and—” short jealous and even tall probably hot crazy can’t [MASK] you’re you He’s ever beat he and because drive because and,"""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
['anna'],"[MASK] pulls her hand from the water and sends it absently down her stomach, leaving a trail of water that quickly pulls into droplets and evaporates in the heat. “Is it weird that we lived together for two years and you don’t remember this?”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","into water that stomach, water weird from it her remember you down of and hand pulls it trail droplets [MASK] a together “Is don’t lived that we sends and two heat. years evaporates pulls and her leaving the quickly in the absently for this?”","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['anna'],"Gingerly, [MASK] lifts the ice, gasping at the small wound there. She sets the ice back down, flushed, and nods decisively. “You’ll live.”","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","decisively. the nods the ice, at and Gingerly, ice [MASK] “You’ll down, gasping the back live.” flushed, She lifts small sets there. wound","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
['anna'],"[MASK] scowls at him, and with the circle of people watching, crouches down, setting two fingers on his leg. She immediately jerks her arm back. “Wow, it’s hot.”","""title"": ""Harry Potter and the Philosopher's Stone"", ""author"": ""J.K. Rowling""","[MASK] immediately and of back. at people watching, on two down, circle setting it’s his fingers hot.” the scowls him, with crouches arm “Wow, jerks leg. her She","""title"": ""Unknown"", ""author"": ""Unknown"""
['anna'],"[MASK] laughs. “Well, technically the twelfth, but the fifth was when he wrote me a song and got on his knees to sing it to me, so that’s the night I see as our actual marriage.” She looks up at me, eyes soft. “He cried.”","""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas""","me, [MASK] twelfth, looks marriage.” up the to but as “Well, me a his at She so wrote knees technically night it eyes was me, the the fifth when song cried.” sing to I that’s and soft. on he got actual laughs. see our “He","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['mel'],"I’m out of town but will make sure my roommate is there to meet the courier. This is so exciting! The price sounds perfect. Thank you, [MASK]!","""title"": ""The Courier's Gift"", ""author"": ""Emily Griffin""","will sure there out to you, town so perfect. courier. Thank is exciting! is but The roommate I’m price my This of the [MASK]! make sounds meet","""title"": ""Unknown"", ""author"": ""Unknown"""
['janet'],"But because this is a Weston Party™, it doesn’t end there. Clustered down the center of each table are vases bursting with white orchids and sprays of spiky green palms. The plates are bone china, and they look old, rich old, vintage, with about seventeen matching smaller plates and crystal champagne flutes at each place setting. I wonder idly if [MASK] had these brought over from her own collection, and then I realize she’d be more likely to just buy an entirely new set of priceless china.","""title"": ""American Psycho"", ""author"": ""Bret Easton Ellis""","champagne Weston Clustered realize rich there. entirely center each her they flutes had at new and look bone seventeen because and to about are collection, this be it vases and setting. plates white idly wonder priceless But down set then likely The vintage, are green plates own table I a sprays brought is Party™, she’d over of I if china. end just each of smaller palms. [MASK] bursting and these place from spiky with china, buy the with an more matching old, orchids doesn’t crystal old, of","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
['ray'],"“So how’s it going with your dad?” I say, standing and stretching. West was pretty shaken up after [MASK] blindsided him in front of the Forbes editor. I can’t imagine what it’s like wanting to avoid your own father.","""title"": ""The Circle"", ""author"": ""Dave Eggers""","how’s I West like of own blindsided pretty to imagine it’s Forbes “So it the editor. what dad?” father. shaken wanting up say, standing him with was after [MASK] I stretching. avoid your in front and can’t going your","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
['alex'],“What I don’t understand is why he has such a boner for you being CEO when you clearly don’t want the job. Let him give it to [MASK]. He clearly wants it.”,"""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""",the He Let why it being a “What I wants clearly has boner you want to clearly CEO him when he understand you it.” don’t job. don’t is [MASK]. for give such,"""title"": ""Unknown"", ""author"": ""Unknown"""
['anna green'],"“I’m not saying, but maybe I’m sort of saying, that there is one person in this bungalow who could absolutely use a massage and his name isn’t [MASK].”","""title"": ""The Hating Game"", ""author"": ""Agatha Christie""","person could isn’t there maybe [MASK].” this bungalow his absolutely saying, name in not I’m massage that saying, is one but a “I’m use and sort of who","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['janet'],"[MASK] unfolds herself from her chair, floating like a vampire across to me, where she delivers a kiss to the air on either side of my face. “Hello, darling. Nice of you to come.”","""title"": ""The Secret History"", ""author"": ""Donna Tartt""","to air across of of “Hello, vampire like side chair, [MASK] from either delivers you kiss darling. on come.” herself to to the floating me, face. a a my she where Nice unfolds her","""title"": ""Dracula"", ""author"": ""Bram Stoker"""
['reagan'],"[MASK] laughs down at her sand drawing. “Five more days,” she says. “I’m having fun but I miss my dog and my friends.”","""title"": ""Island of the Blue Dolphins"", ""author"": ""Scott O'Dell""","having “Five but I days,” and my dog friends.” at her says. more my laughs down she fun miss drawing. sand [MASK] “I’m","""title"": ""Diary of a Wimpy Kid"", ""author"": ""Jeff Kinney"""
['reagan'],"He blinks away, aiming a wry laugh down at the sand before he looks back up again. “Shots fired, okay.” He looks over at [MASK]. “Then would my niece like to dance with me?”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""","the aiming okay.” away, down looks He looks me?” blinks before at again. “Shots “Then like sand niece would wry back he a dance fired, to up laugh with my over [MASK]. at He","""title"": ""Unknown"", ""author"": ""Unknown"""
['ray'],"“Should we go?” she asks, setting her hand over mine on her chest. “This feels like the start of something we don’t want [MASK] to see.”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","her see.” don’t feels she we her “This on [MASK] mine “Should asks, like setting we hand to of want start chest. over something go?” the","""title"": ""Alice's Adventures in Wonderland"", ""author"": ""Lewis Carroll"""
['grandpa'],"“I was only fifteen when [MASK] died. We were all at the reading of the will, but you can imagine in a situation like that, especially for kids, a lot of the details sort of go over your head. The reading took hours. I understood, basically, that he was leaving us each a very large sum of money. I understood that it was contingent on us being married. At the time, it didn’t seem so weird that he would want that. Kids sort of take those adult directives as law.”","""title"": ""The Nest"", ""author"": ""Cynthia D'Aprix Sweeney""","want leaving very take large the sort reading it situation Kids of The those it contingent so would “I over the didn’t will, all like fifteen as [MASK] especially head. We imagine married. kids, when for seem at he of each go lot was reading I that. that sum sort weird At being details us a were he took was understood, the of us law.” can a adult but a that only of directives hours. you your died. of money. basically, that, that the on understood time, I in was","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
['mel'],"“Really.” I turn my face to the sun and feel its warmth spread through me. Residual panic drains away and I feel only contentment. I have money from West, I have the start of a potential—maybe, let’s hope—career as an artist. I might be falling in… I cut the thought off. “[MASK] just called me. Tell Dad I can cover it, absolutely no problem.”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","be falling through of Dad and have I to only away face its “[MASK] contentment. West, me. the might me. the it, problem.” I potential—maybe, cut “Really.” called let’s spread money Residual a panic warmth absolutely start thought hope—career I turn artist. my cover an drains sun the can feel I as just Tell off. have I I in… I and feel from no","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
['ray'],"The sound of a fork dropping onto porcelain breaks through my trance, and I blink over to where [MASK] is now impatiently wiping his mouth on a napkin. “They just canceled now?”","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","and onto trance, wiping to my dropping fork The I just on a impatiently is “They through a of napkin. breaks [MASK] where porcelain over now sound canceled mouth his blink now?”","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
